year,source_mode,total_records,bad_length,resident_records,A,B,gap
1999,file,2394871,0,2391399,2401,1098,1303
2000,file,2407193,0,2403351,2316,1073,1243
2001,file,2419960,0,2416425,2389,1138,1251
2002,file,2446796,0,2443387,2266,1077,1189
2003,file,2452154,0,2448288,2211,1049,1162
2004,file,2401400,0,2397615,2149,1087,1062
2005,file,2452506,0,2448017,2087,1041,1046
2006,file,2430725,0,2426264,1947,1010,937
2007,file,2428343,0,2423712,1870,1020,850
2008,file,2476811,0,2471984,2034,1136,898
2009,file,2441219,0,2437163,1824,988,836
2010,file,2472542,0,2468435,1780,994,786
2011,file,2519842,0,2515458,1808,1004,804
2012,file,2547864,0,2543279,1746,1025,721
2013,file,2601452,0,2596993,1701,948,753
2014,file,2631171,0,2626418,1692,994,698
2015,file,2718198,0,2712630,1772,1079,693
2016,file,2749864,0,2744248,1742,1031,711
2017,file,2820034,0,2813503,1668,973,695
2018,file,2846305,0,2839205,1620,969,651
2019,file,2861523,0,2854838,1794,1049,745
2020,zip,3390278,0,3383729,1906,1052,854
2021,zip,3472120,0,3464231,2034,1172,862
2022,zip,3289569,0,3279857,2205,1229,976
2023,zip,3101016,0,3090964,2057,1117,940
2024,file,3082464,0,3072666,2065,1161,904
