disease,scheme,age_sex_cell,weight
I21,own_disease_2018_2024_age_sex_mention_distribution,85+|Female,0.13679487678592284
I21,own_disease_2018_2024_age_sex_mention_distribution,55-64|Male,0.11219780433682408
I21,own_disease_2018_2024_age_sex_mention_distribution,65-74|Male,0.16151847237902442
I21,own_disease_2018_2024_age_sex_mention_distribution,55-64|Female,0.04884961264452836
I21,own_disease_2018_2024_age_sex_mention_distribution,75-84|Female,0.1107593335150076
I21,own_disease_2018_2024_age_sex_mention_distribution,45-54|Male,0.04265192509829875
I21,own_disease_2018_2024_age_sex_mention_distribution,65-74|Female,0.08679682329583058
I21,own_disease_2018_2024_age_sex_mention_distribution,45-54|Female,0.01677891540467941
I21,own_disease_2018_2024_age_sex_mention_distribution,75-84|Male,0.15194553665278157
I21,own_disease_2018_2024_age_sex_mention_distribution,85+|Male,0.11026102697862732
I21,own_disease_2018_2024_age_sex_mention_distribution,35-44|Male,0.012189045042239265
I21,own_disease_2018_2024_age_sex_mention_distribution,25-34|Male,0.0027377661852298826
I21,own_disease_2018_2024_age_sex_mention_distribution,35-44|Female,0.005276988359870752
I21,own_disease_2018_2024_age_sex_mention_distribution,25-34|Female,0.0012418733211352045
C18,own_disease_2018_2024_age_sex_mention_distribution,75-84|Male,0.1323009047413215
C18,own_disease_2018_2024_age_sex_mention_distribution,75-84|Female,0.1218047130017439
C18,own_disease_2018_2024_age_sex_mention_distribution,45-54|Male,0.04362433113234264
C18,own_disease_2018_2024_age_sex_mention_distribution,55-64|Male,0.10035027052808872
C18,own_disease_2018_2024_age_sex_mention_distribution,65-74|Female,0.10302425064464682
C18,own_disease_2018_2024_age_sex_mention_distribution,85+|Female,0.13461716176536345
C18,own_disease_2018_2024_age_sex_mention_distribution,65-74|Male,0.14077297998241195
C18,own_disease_2018_2024_age_sex_mention_distribution,45-54|Female,0.03325036144937473
C18,own_disease_2018_2024_age_sex_mention_distribution,55-64|Female,0.06840559836639788
C18,own_disease_2018_2024_age_sex_mention_distribution,85+|Male,0.0922627476114531
C18,own_disease_2018_2024_age_sex_mention_distribution,35-44|Female,0.011050662532977597
C18,own_disease_2018_2024_age_sex_mention_distribution,35-44|Male,0.012904860562519563
C18,own_disease_2018_2024_age_sex_mention_distribution,25-34|Male,0.003106228853348437
C18,own_disease_2018_2024_age_sex_mention_distribution,25-34|Female,0.002524928828009718
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,85+|Male,0.10082375573422779
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,75-84|Male,0.16014453556412594
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,55-64|Female,0.05633693306702494
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,65-74|Male,0.15515835957819826
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,55-64|Male,0.09456888054329587
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,75-84|Female,0.12623828804613635
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,45-54|Male,0.03606408122350258
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,65-74|Female,0.10301168708150692
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,85+|Female,0.12191426017906425
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,35-44|Female,0.007182885812055276
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,45-54|Female,0.020867280268404082
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,35-44|Male,0.011712162875060508
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,25-34|Female,0.002386910201177654
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,25-34|Male,0.0035899798262195607
N18,own_disease_2018_2024_age_sex_mention_distribution,75-84|Female,0.1316068328706086
N18,own_disease_2018_2024_age_sex_mention_distribution,75-84|Male,0.15966661200671753
N18,own_disease_2018_2024_age_sex_mention_distribution,55-64|Female,0.04114989454399466
N18,own_disease_2018_2024_age_sex_mention_distribution,85+|Male,0.16611610904094407
N18,own_disease_2018_2024_age_sex_mention_distribution,85+|Female,0.1832887572023907
N18,own_disease_2018_2024_age_sex_mention_distribution,65-74|Female,0.08828448807187972
N18,own_disease_2018_2024_age_sex_mention_distribution,65-74|Male,0.11510593663592515
N18,own_disease_2018_2024_age_sex_mention_distribution,55-64|Male,0.05932677790908731
N18,own_disease_2018_2024_age_sex_mention_distribution,35-44|Male,0.007539680295842263
N18,own_disease_2018_2024_age_sex_mention_distribution,45-54|Male,0.022405301638102133
N18,own_disease_2018_2024_age_sex_mention_distribution,45-54|Female,0.015069182532188113
N18,own_disease_2018_2024_age_sex_mention_distribution,35-44|Female,0.005877263911428264
