disease,scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
I21,own_disease_2018_2024_age_sex_mention_distribution,1999,0.8316807928063278,0.8301236722529566,0.833237913359699,6.311496297717409e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2000,0.8237643771658404,0.8221594757442284,0.8253692785874523,6.704780750447552e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2001,0.8162775194278633,0.8146117327075045,0.8179433061482221,7.223150243969864e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2002,0.808654961592188,0.806951810326776,0.8103581128576,7.550823180118427e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2003,0.8025502182511277,0.8007896285007116,0.8043108080015439,8.068711654702703e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2004,0.7969639093816483,0.7951200735928419,0.7988077451704547,8.849777218043561e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2005,0.7878223001918399,0.7859231513644989,0.7897214490191808,9.388708528713911e-07,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2006,0.7793604553430239,0.777389834105426,0.7813310765806218,1.0108673630966448e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2007,0.76743078621742,0.76537920195985,0.76948237047499,1.0956367049950931e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2008,0.7711138381581659,0.7690741627434486,0.7731535135728832,1.0829539247714441e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2009,0.7690448900625452,0.7669483356285213,0.7711414444965691,1.1441952558374958e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2010,0.7642021782437218,0.762067905012017,0.7663364514754266,1.1857356902258893e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2011,0.7599518425082071,0.7577956424908979,0.7621080425255163,1.2102245196387276e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2012,0.7600797364142884,0.757912318427663,0.7622471544009137,1.2228500439262247e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2013,0.7590875442109069,0.7569170720206243,0.7612580164011894,1.2262988152826566e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2014,0.7548769131613847,0.752683147824817,0.7570706784979524,1.2527609204305443e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2015,0.7490155757664412,0.7468165839322899,0.7512145676005925,1.2587372674572658e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2016,0.7456939321294396,0.7434760306941625,0.7479118335647167,1.2804786486370451e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2017,0.739293239290058,0.7370563608575469,0.741530117722569,1.3024846735300434e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2018,0.7330770099100993,0.7308182335795212,0.7353357862406773,1.3281108162170906e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2019,0.7232558455719321,0.7209440214239166,0.7255676697199477,1.3912252424374375e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2020,0.6879603084621557,0.6856828182737903,0.6902377986505212,1.3502086521503287e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2021,0.672730705149341,0.6704505502579702,0.6750108600407118,1.3533700355690038e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2022,0.6873153859255753,0.6849815323025723,0.6896492395485783,1.4178656636828183e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2023,0.6957352523477979,0.6932765172159816,0.6981939874796141,1.5736616119397276e-06,1.0,14
I21,own_disease_2018_2024_age_sex_mention_distribution,2024,0.696630310810802,0.6941290909151238,0.6991315307064802,1.6285144123637055e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,1999,0.8422519399784364,0.8393612741167038,0.845142605840169,2.175122116874838e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2000,0.84384445608449,0.8409909235018004,0.8466979886671796,2.1195981363159793e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2001,0.8450140753122427,0.8421415466602168,0.8478866039642686,2.1479125512051875e-06,1.0,14
