disease,contrast_or_year,std_UCF,CI_lo,CI_hi,RD,RD_CI_lo,RD_CI_hi,RR,RR_CI_lo,RR_CI_hi
I21,1999,0.8316807928063278,0.8301236722529566,0.833237913359699,,,,,,
I21,2015,0.7490155757664412,0.7468165839322899,0.7512145676005925,,,,,,
I21,2024,0.696630310810802,0.6941290909151238,0.6991315307064802,,,,,,
I21,2024_minus_1999,,,,-0.13505048199552583,-0.13799678907121693,-0.13210417491983473,0.8376174090304201,0.8342325145046602,0.8410160377498868
C18,1999,0.8422519399784364,0.8393612741167038,0.845142605840169,,,,,,
C18,2015,0.8680426024024364,0.8650951449481337,0.870990059856739,,,,,,
C18,2024,0.8468412873764066,0.8436756723804794,0.8500069023723339,,,,,,
C18,2024_minus_1999,,,,0.004589347397970234,0.0003024992053436582,0.00887619559059681,1.0054489009524723,1.000359450982098,1.0105642441165137
E10_E14,1999,0.3240769504356099,0.32202495994208796,0.32612894092913186,,,,,,
E10_E14,2015,0.3141257970224219,0.3123174767135762,0.3159341173312676,,,,,,
E10_E14,2024,0.27904596936525555,0.2775426270720649,0.2805493116584462,,,,,,
E10_E14,2024_minus_1999,,,,-0.04503098107035436,-0.04757473873098168,-0.042487223409727035,0.8610484916936373,0.8539197417161967,0.868236754379074
N18,1999,0.2292879812725593,0.22561786942070094,0.23295809312441768,,,,,,
N18,2015,0.322785514082992,0.31979714987688634,0.32577387828909765,,,,,,
N18,2024,0.3007170773990088,0.2981965840780381,0.30323757071997953,,,,,,
N18,2024_minus_1999,,,,0.07142909612644952,0.0669768374203309,0.07588135483256812,1.3115256880452897,1.2880415226837956,1.335438027509104
A40_A41,1999,0.21596273880322223,0.21373345014121622,0.21819202746522823,,,,,,
A40_A41,2015,0.2073681698315312,0.2055519872617872,0.2091843524012752,,,,,,
A40_A41,2024,0.18048916101074022,0.17887855983914674,0.1820997621823337,,,,,,
A40_A41,2024_minus_1999,,,,-0.035473577792482,-0.03822380761423995,-0.03272334797072406,0.8357421377916294,0.8244159243354761,0.8472239560917306
