disease,year,M_record_axis_mention,U_main_M_and_UCD,U_official_all_UCD,UCF,CI_lo,CI_hi,orphan_UCD
I21,1999,238258,198940,199450,0.8349772095795315,0.8334813054002383,0.8364623121873384,510
I21,2000,233177,192813,192895,0.8268954485219383,0.8253544427920565,0.8284256835950518,82
I21,2001,225026,184677,184757,0.8206918311661764,0.8191013878725072,0.8222713254723195,80
I21,2002,220806,179437,179509,0.8126454897058957,0.8110125395257309,0.8142675616139123,72
I21,2003,211194,170500,170562,0.8073146017405798,0.8056269130032785,0.808991111041771,62
I21,2004,195556,156713,156800,0.8013714741557405,0.7995972847795414,0.8031338236153281,87
I21,2005,190433,150854,150939,0.7921631229881375,0.7903348304268977,0.7939796286220444,85
I21,2006,180552,141381,141381,0.7830486508042005,0.781141462693296,0.7849437947770973,0
I21,2007,172442,132880,132880,0.7705779334500875,0.7685874127964724,0.7725563991422104,0
I21,2008,172650,133887,133887,0.7754821894005213,0.7735078412120826,0.7774442789160283,0
I21,2009,162373,125393,125393,0.7722527760157168,0.7702065026969618,0.7742861675981543,0
I21,2010,158923,122016,122016,0.7677680386098928,0.7656855651966054,0.7698375674521517,0
I21,2011,157000,119851,119851,0.7633821656050955,0.761273445345892,0.7654779973676371,0
I21,2012,154431,117883,117883,0.7633376718404984,0.761211294421796,0.765450948577868,0
I21,2013,153284,116756,116756,0.7616972417212494,0.7595578742250352,0.7638234927280149,0
I21,2014,150543,113982,113982,0.7571391562543592,0.7549664831399634,0.7592987066825484,0
I21,2015,151823,113995,113995,0.7508414403614736,0.7486594504294345,0.7530107369244825,0
I21,2016,149579,111746,111746,0.7470701101090393,0.7448608905378711,0.7492666395929682,0
I21,2017,148990,110312,110312,0.7403986844754682,0.7381663494006845,0.7426186233110796,0
I21,2018,147937,108586,108586,0.7340016358314688,0.7317439473274776,0.736247172077312,0
I21,2019,144025,104259,104259,0.7238951570907829,0.7215803145409532,0.7261980564212211,0
I21,2020,158701,109182,109182,0.6879729806365429,0.6856889513989773,0.6902479100828496,0
I21,2021,162329,109078,109078,0.6719563355900671,0.6696683408716017,0.6742361919284463,0
I21,2022,151300,103894,103894,0.6866754791804363,0.6843335337995736,0.6890079455400238,0
I21,2023,134283,93336,93336,0.6950693684234043,0.6926014535375685,0.6975261228569152,0
I21,2024,129779,90296,90296,0.695767419998613,0.6932585409011175,0.6982647100066125,0
C18,1999,58040,48342,48433,0.832908339076499,0.8298513152003837,0.8359212978582482,91
C18,2000,58278,48560,48570,0.8332475376642987,0.8301992443918668,0.8362519010724371,10
C18,2001,57219,47846,47860,0.8361907757912581,0.833135731476879,0.8392006820807444,14
C18,2002,57063,47568,47586,0.8336049629357026,0.8305267534021099,0.8366382591818333,18
C18,2003,55929,46846,46868,0.8375976684725277,0.8345178654543818,0.8406310991803252,22
C18,2004,53125,44581,44591,0.8391717647058824,0.8360232996202089,0.8422711824443341,10
