year,A_record_axis_K80,B_main_A_and_UCD_K80,B_official_all_UCD_K80,A_prime_A_union_B_official,gap_A_minus_B,UCF,UCF_CI_lo,UCF_CI_hi,orphan_UCD_K80
1999,2401,1098,1100,2403,1303,0.4573094543940025,0.4374668512790624,0.477288444024051,2
2000,2316,1073,1075,2318,1243,0.4632987910189983,0.44306789669181,0.48365123346529126,2
2001,2389,1138,1138,2389,1251,0.4763499372122227,0.456376593706232,0.4963992161647272,0
2002,2266,1077,1077,2266,1189,0.47528684907325686,0.4547844323205873,0.49587291444486037,0
2003,2211,1049,1049,2211,1162,0.47444595205789236,0.45369427286130914,0.4952862740080964,0
2004,2149,1087,1088,2150,1062,0.5058166589111215,0.4846868235242071,0.5269257361919621,1
2005,2087,1041,1041,2087,1046,0.49880210828941063,0.47737262502394834,0.520235993277116,0
2006,1947,1010,1010,1947,937,0.5187467899332306,0.4965380095765793,0.5408817405881161,0
2007,1870,1020,1020,1870,850,0.5454545454545454,0.5228162016374261,0.5679065215682978,0
2008,2034,1136,1136,2034,898,0.5585054080629301,0.5368353100827341,0.5799549333239985,0
2009,1824,988,988,1824,836,0.5416666666666666,0.5187368528275924,0.5644213441081904,0
2010,1780,994,994,1780,786,0.5584269662921348,0.5352569842491082,0.5813453062579809,0
2011,1808,1004,1004,1808,804,0.5553097345132744,0.5323106687663177,0.578074265316258,0
2012,1746,1025,1025,1746,721,0.5870561282932417,0.5637949394080431,0.6099350853708194,0
2013,1701,948,948,1701,753,0.5573192239858906,0.5336119064164113,0.5807682308046116,0
2014,1692,994,994,1692,698,0.5874704491725768,0.5638412704743248,0.610703347750684,0
2015,1772,1079,1079,1772,693,0.6089164785553047,0.5859831121153685,0.6313786338235601,0
2016,1742,1031,1031,1742,711,0.5918484500574053,0.5685906491037471,0.6147020538981384,0
2017,1668,973,973,1668,695,0.5833333333333334,0.5595089244550656,0.6067747853627897,0
2018,1620,969,969,1620,651,0.5981481481481481,0.574068936459787,0.6217629892941875,0
2019,1794,1049,1049,1794,745,0.584726867335563,0.5617670984689374,0.6073245633728198,0
2020,1906,1052,1052,1906,854,0.5519412381951732,0.5295335158543095,0.5741400111212033,0
2021,2034,1172,1172,2034,862,0.576204523107178,0.5546053491524149,0.5975163964613965,0
2022,2205,1229,1229,2205,976,0.5573696145124717,0.536555882359061,0.5779838004188407,0
2023,2057,1117,1117,2057,940,0.5430238210986874,0.521436365855208,0.5644508814351719,0
2024,2065,1161,1161,2065,904,0.5622276029055691,0.5407338595177733,0.5834902558218807,0
