analysis,scenario,comparison,start_year,end_year,year,group,A_records,B_records,denominator_records,UCF,UCF_CI_lo,UCF_CI_hi,start_weight,end_weight,start_UCF,end_UCF,composition_component,selection_component,total_change,composition_total,selection_total,decomposition_residual,excluded_A_records,excluded_B_records,metric,metric_value,note
overall,primary_record_axis_K80,annual,,,1999,all_A_records,2401,1098,2401,0.4573094543940025,0.4374668512790624,0.477288444024051,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2000,all_A_records,2316,1073,2316,0.4632987910189983,0.44306789669181,0.48365123346529126,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2001,all_A_records,2389,1138,2389,0.4763499372122227,0.456376593706232,0.4963992161647272,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2002,all_A_records,2266,1077,2266,0.47528684907325686,0.4547844323205873,0.49587291444486037,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2003,all_A_records,2211,1049,2211,0.47444595205789236,0.45369427286130914,0.4952862740080964,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2004,all_A_records,2149,1087,2149,0.5058166589111215,0.4846868235242071,0.5269257361919621,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2005,all_A_records,2087,1041,2087,0.49880210828941063,0.47737262502394834,0.520235993277116,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2006,all_A_records,1947,1010,1947,0.5187467899332306,0.4965380095765793,0.5408817405881161,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2007,all_A_records,1870,1020,1870,0.5454545454545454,0.5228162016374261,0.5679065215682978,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2008,all_A_records,2034,1136,2034,0.5585054080629301,0.5368353100827341,0.5799549333239985,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2009,all_A_records,1824,988,1824,0.5416666666666666,0.5187368528275924,0.5644213441081904,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2010,all_A_records,1780,994,1780,0.5584269662921348,0.5352569842491082,0.5813453062579809,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2011,all_A_records,1808,1004,1808,0.5553097345132744,0.5323106687663177,0.578074265316258,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2012,all_A_records,1746,1025,1746,0.5870561282932417,0.5637949394080431,0.6099350853708194,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2013,all_A_records,1701,948,1701,0.5573192239858906,0.5336119064164113,0.5807682308046116,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2014,all_A_records,1692,994,1692,0.5874704491725768,0.5638412704743248,0.610703347750684,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2015,all_A_records,1772,1079,1772,0.6089164785553047,0.5859831121153685,0.6313786338235601,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2016,all_A_records,1742,1031,1742,0.5918484500574053,0.5685906491037471,0.6147020538981384,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2017,all_A_records,1668,973,1668,0.5833333333333334,0.5595089244550656,0.6067747853627897,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2018,all_A_records,1620,969,1620,0.5981481481481481,0.574068936459787,0.6217629892941875,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2019,all_A_records,1794,1049,1794,0.584726867335563,0.5617670984689374,0.6073245633728198,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2020,all_A_records,1906,1052,1906,0.5519412381951732,0.5295335158543095,0.5741400111212033,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2021,all_A_records,2034,1172,2034,0.576204523107178,0.5546053491524149,0.5975163964613965,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
overall,primary_record_axis_K80,annual,,,2022,all_A_records,2205,1229,2205,0.5573696145124717,0.536555882359061,0.5779838004188407,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
