group,stratum,year,A,B,UCF,UCF_CI_lo,UCF_CI_hi,composition_weight,kitagawa_composition_component,kitagawa_selection_component
subtype,K80.0,1999,131,99,0.7557251908396947,0.6755549161702148,0.8213249054067193,0.054560599750104126,0.022703719299874917,-0.0004982822997549185
subtype,K80.0,2024,175,131,0.7485714285714286,0.6794258610309706,0.8070385224161915,0.0847457627118644,0.022703719299874917,-0.0004982822997549185
subtype,K80.1,1999,331,168,0.5075528700906344,0.45391745043609755,0.5610149895837552,0.13785922532278216,-0.03886624168535674,0.02264842283868975
subtype,K80.1,2024,154,111,0.7207792207792207,0.6452138349372998,0.7855981995437495,0.07457627118644068,-0.03886624168535674,0.02264842283868975
subtype,K80.2,1999,1603,617,0.3849033063006862,0.36138607295075303,0.40897086053861603,0.6676384839650146,-0.08061104894022088,0.0289616655618263
subtype,K80.2,2024,973,424,0.4357656731757451,0.40492212543956607,0.46711442780940426,0.4711864406779661,-0.08061104894022088,0.0289616655618263
subtype,K80.3,1999,60,55,0.9166666666666666,0.8193105798166559,0.9638795433982693,0.024989587671803416,0.04595286214000025,-0.0025161585066271496
subtype,K80.3,2024,158,137,0.8670886075949367,0.8053528677555306,0.9113979626266747,0.07651331719128329,0.04595286214000025,-0.0025161585066271496
subtype,K80.4,1999,39,22,0.5641025641025641,0.40975691648669477,0.7069524612431037,0.01624323198667222,0.020748344016947796,0.006408419760856647
subtype,K80.4,2024,98,75,0.7653061224489796,0.6723823457806969,0.8382152104812685,0.04745762711864407,0.020748344016947796,0.006408419760856647
subtype,K80.5,1999,235,135,0.574468085106383,0.5105553551443173,0.6359853676130146,0.09787588504789671,0.08260015806946383,-0.003233509992038456
subtype,K80.5,2024,504,280,0.5555555555555556,0.5119160864613476,0.5983545482561149,0.2440677966101695,0.08260015806946383,-0.003233509992038456
subtype,K80.8,1999,2,2,1.0,0.3423802275066531,1.0,0.0008329862557267805,0.0006197982479051806,0.0
subtype,K80.8,2024,3,3,1.0,0.4385029682449545,1.0,0.0014527845036319612,0.0006197982479051806,0.0
severity,acute_cholecystitis,1999,131,99,0.7557251908396947,0.6755549161702148,0.8213249054067193,0.054560599750104126,0.022703719299874917,-0.0004982822997549185
severity,acute_cholecystitis,2024,175,131,0.7485714285714286,0.6794258610309706,0.8070385224161915,0.0847457627118644,0.022703719299874917,-0.0004982822997549185
severity,cholangitis,1999,60,55,0.9166666666666666,0.8193105798166559,0.9638795433982693,0.024989587671803416,0.04595286214000025,-0.0025161585066271496
severity,cholangitis,2024,158,137,0.8670886075949367,0.8053528677555306,0.9113979626266747,0.07651331719128329,0.04595286214000025,-0.0025161585066271496
severity,other_cholecystitis,1999,370,190,0.5135135135135135,0.4627085717956812,0.5640407353345274,0.1541024573094544,-0.02006864455067535,0.031007589481812804
severity,other_cholecystitis,2024,252,186,0.7380952380952381,0.6805263536347864,0.7885141238278665,0.12203389830508475,-0.02006864455067535,0.031007589481812804
severity,other_or_unspecified,1999,2,2,1.0,0.3423802275066531,1.0,0.0008329862557267805,0.0006197982479051806,0.0
severity,other_or_unspecified,2024,3,3,1.0,0.4385029682449545,1.0,0.0014527845036319612,0.0006197982479051806,0.0
severity,without_cholecystitis,1999,1838,752,0.4091403699673558,0.3868747327995045,0.4317850120984869,0.7655143690129113,-0.022259765315684167,0.04997703001471498
severity,without_cholecystitis,2024,1477,704,0.4766418415707515,0.45126398648494587,0.5021408837062561,0.7152542372881356,-0.022259765315684167,0.04997703001471498
entity_part,Part I,1999,1230,1029,0.8365853658536585,0.8148798992225255,0.8561949735503529,0.51228654727197,0.08945653173330909,0.020470829041509438
entity_part,Part I,2024,1274,1112,0.8728414442700158,0.8534199706198784,0.8900212391188826,0.6169491525423729,0.08945653173330909,0.020470829041509438
entity_part,Part II,1999,1171,69,0.05892399658411614,0.04682387095601707,0.07390855447530417,0.48771345272802996,-0.0063253316078641765,0.0013161193446122863
entity_part,Part II,2024,791,49,0.061946902654867256,0.04717245539133176,0.08095556019028653,0.38305084745762713,-0.0063253316078641765,0.0013161193446122863
complexity,1,1999,29,29,1.0,0.8830302015002593,1.0,0.012078300708038317,0.0034180673307026028,0.0
complexity,1,2024,32,32,1.0,0.8928208017449293,1.0,0.01549636803874092,0.0034180673307026028,0.0
complexity,10+,1999,55,11,0.2,0.11552214909761246,0.32364879157263937,0.022907122032486463,0.01649009981521652,0.006047119846082796
complexity,10+,2024,181,56,0.30939226519337015,0.24659840218504425,0.3801087205555656,0.08765133171912833,0.01649009981521652,0.006047119846082796
complexity,2,1999,213,155,0.7276995305164319,0.6642800823645946,0.7830513482923498,0.08871303623490212,-0.009309891895911394,0.01109728274294548
complexity,2,2024,159,137,0.8616352201257862,0.7993901352081454,0.9068182274093091,0.07699757869249395,-0.009309891895911394,0.01109728274294548
complexity,3-4,1999,1063,566,0.5324553151458138,0.5023982572939534,0.5622786442545429,0.44273219491878385,-0.08258677074661575,0.06041098240983514
complexity,3-4,2024,636,441,0.6933962264150944,0.6564896824384642,0.7279805587575472,0.3079903147699758,-0.08258677074661575,0.06041098240983514
complexity,5-9,1999,1041,337,0.32372718539865514,0.2959969463725529,0.35275359190123395,0.43356934610578923,0.031006163819594357,0.06834509518971676
complexity,5-9,2024,1057,495,0.46830652790917693,0.43839361368054813,0.4984489753388499,0.511864406779661,0.031006163819594357,0.06834509518971676
