analysis,year,stratum,A_records,B_records,UCF,CI_lo,CI_hi,note
k80_code_count,1999,1,2335,1056,0.45224839400428263,0.43215564311457144,0.47249800531509056,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,1999,2,66,42,0.6363636363636364,0.5157964063076523,0.7419301690522909,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,1999,K80.2,1660,655,0.39457831325301207,0.3713356026346822,0.4183078167280769,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,1999,K80.4,40,23,0.575,0.4219506854199107,0.7149060744004961,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,1999,K80.1,333,169,0.5075075075075075,0.4540322578455889,0.5608115206414933,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,1999,K80.5,240,137,0.5708333333333333,0.5075830430993526,0.6318518182422598,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,1999,K80.0,131,99,0.7557251908396947,0.6755549161702148,0.8213249054067193,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,1999,K80.3,60,55,0.9166666666666666,0.8193105798166559,0.9638795433982693,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,1999,K80.8,3,2,0.6666666666666666,0.20765960080204768,0.9385080552796037,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2000,1,2269,1040,0.4583516967827237,0.43793764407987407,0.47890653382505294,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2000,2,47,33,0.7021276595744681,0.5602232608095392,0.8134874949539516,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2000,K80.2,1555,602,0.38713826366559484,0.3632345045488989,0.41159827397782767,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2000,K80.1,339,198,0.584070796460177,0.5309475316344968,0.6353100738373402,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2000,K80.0,127,88,0.6929133858267716,0.6080071380164639,0.7664918964764936,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2000,K80.3,63,56,0.8888888888888888,0.7879534424991746,0.9451245133761628,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2000,K80.5,233,133,0.5708154506437768,0.5066203236415293,0.6327133899925492,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2000,K80.4,42,27,0.6428571428571429,0.4916636571945582,0.7701081168438122,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2000,K80.8,4,2,0.5,0.15003898915214947,0.8499610108478506,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2001,1,2340,1107,0.47307692307692306,0.4529083409202291,0.49333375684375647,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2001,2,49,31,0.6326530612244898,0.49267067560792427,0.7533482703131685,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2001,K80.2,1633,674,0.4127372933251684,0.3890906887050609,0.4367934869038978,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2001,K80.0,132,90,0.6818181818181818,0.5981823406757425,0.7551707550338544,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2001,K80.1,307,171,0.5570032573289903,0.5010728595772764,0.6115247332045456,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2001,K80.5,248,138,0.5564516129032258,0.4942268424020494,0.6169542162334766,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2001,K80.3,62,60,0.967741935483871,0.8897953040501456,0.9911086285001834,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2001,K80.4,52,35,0.6730769230769231,0.5375618936197394,0.7847792554143083,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2001,K80.8,4,1,0.25,0.045587260809700575,0.6993581574175981,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2002,1,2222,1045,0.47029702970297027,0.4496132644236902,0.49108332046697994,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2002,2,44,32,0.7272727272727273,0.581511269075488,0.8365361837615662,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2002,K80.2,1595,639,0.4006269592476489,0.3768450250169025,0.4248864110481723,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2002,K80.5,221,136,0.6153846153846154,0.5497915686529613,0.6770349261914408,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2002,K80.0,110,88,0.8,0.7157046653839023,0.8640489734371992,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2002,K80.1,285,162,0.5684210526315789,0.5103844503117912,0.6246377177634996,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2002,K80.3,57,51,0.8947368421052632,0.7887718941661296,0.9508553414762553,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2002,K80.4,34,29,0.8529411764705882,0.6987194350454783,0.9355055855521754,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2002,K80.8,8,4,0.5,0.2152160622138776,0.7847839377861224,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2003,2,45,33,0.7333333333333333,0.5896116224686505,0.8403509647893348,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2003,1,2166,1016,0.469067405355494,0.4481244118397349,0.49011992418985295,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2003,K80.2,1583,654,0.4131396083385976,0.3891221088141469,0.4375776547498995,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2003,K80.5,213,115,0.539906103286385,0.4728578508549063,0.6055404411158986,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2003,K80.0,115,95,0.8260869565217391,0.7465896677058922,0.8845032248271645,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2003,K80.3,57,53,0.9298245614035088,0.8329982990396632,0.9723735797709339,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2003,K80.1,249,142,0.570281124497992,0.5081856121391601,0.6302410531840325,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2003,K80.4,34,21,0.6176470588235294,0.45041017344430695,0.760998166754911,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2003,K80.8,5,2,0.4,0.11762077423264786,0.769275718723987,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2004,1,2107,1055,0.5007119126720455,0.4793806665541564,0.5220405676117083,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2004,2,42,32,0.7619047619047619,0.6147245613168169,0.8651903577535287,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2004,K80.2,1503,664,0.4417831004657352,0.41685726506335413,0.46700576579792763,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2004,K80.1,273,166,0.608058608058608,0.5490332882763033,0.6640850800899513,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2004,K80.5,208,121,0.5817307692307693,0.5138071562092295,0.6466902279632338,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2004,K80.3,49,44,0.8979591836734694,0.7824363845080409,0.9556204532552371,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2004,K80.0,112,90,0.8035714285714286,0.7204588948082169,0.8665502873297101,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2004,K80.4,45,33,0.7333333333333333,0.5896116224686505,0.8403509647893348,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2004,K80.8,1,1,1.0,0.20654931437723742,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2005,1,2049,1011,0.493411420204978,0.47179642702074337,0.5150510716577414,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2005,2,38,30,0.7894736842105263,0.636542205246726,0.8892520815700412,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2005,K80.3,55,52,0.9454545454545454,0.851469394559462,0.9812767844453155,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2005,K80.2,1439,608,0.4225156358582349,0.3972334181964531,0.44821044631360274,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2005,K80.5,216,110,0.5092592592592593,0.4430144091858717,0.5751805210218216,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2005,K80.1,239,157,0.6569037656903766,0.5946603854691803,0.714183089463893,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2005,K80.0,120,94,0.7833333333333333,0.7014563746709163,0.8476327643584851,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2005,K80.4,53,48,0.9056603773584906,0.7974627262370373,0.9590273585027496,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2005,K80.8,3,2,0.6666666666666666,0.20765960080204768,0.9385080552796037,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2006,1,1908,981,0.5141509433962265,0.49171887415975657,0.5365261457140721,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2006,2,36,26,0.7222222222222222,0.5600751000260289,0.8415166205986538,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2006,3+,3,3,1.0,0.4385029682449545,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2006,K80.2,1307,572,0.43764345830145374,0.4109697118503141,0.46468268005172125,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.1,247,166,0.6720647773279352,0.6112737587666119,0.7275856961242141,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.5,228,127,0.5570175438596491,0.4921247018023738,0.6200209003356301,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.3,60,52,0.8666666666666667,0.7583484032350039,0.9308589051941303,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.0,109,93,0.8532110091743119,0.7747924198076281,0.9075808923129954,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.4,36,30,0.8333333333333334,0.6810920568872053,0.921295524049819,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.8,2,2,1.0,0.3423802275066531,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2007,1,1822,982,0.5389681668496158,0.5160214350560565,0.5617509253611055,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2007,2,47,37,0.7872340425531915,0.6509597329080159,0.88010292001905,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2007,3+,1,1,1.0,0.20654931437723742,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2007,K80.1,212,134,0.6320754716981132,0.5653473333251007,0.6941023586199526,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.0,117,92,0.7863247863247863,0.7035748148826341,0.850870659823322,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.2,1259,597,0.47418586179507544,0.44672426355354045,0.5018045089649826,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.5,231,148,0.6406926406926406,0.5769833945459376,0.6997990795811232,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.4,37,32,0.8648648648648649,0.7202258821599022,0.9408670557426799,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.3,63,56,0.8888888888888888,0.7879534424991746,0.9451245133761628,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2008,1,1985,1098,0.5531486146095718,0.531195765083782,0.5748961504201893,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2008,2,43,32,0.7441860465116279,0.5976159650115332,0.8507048287619176,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2008,3+,6,6,1.0,0.6096657120978346,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2008,K80.2,1303,641,0.49194167306216424,0.4648602988960317,0.5190704221120465,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.0,188,151,0.8031914893617021,0.7405326055296216,0.853708079986385,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.1,232,146,0.6293103448275862,0.5655262713349858,0.6888819243233394,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.4,57,42,0.7368421052631579,0.6102342073651618,0.8335421340202691,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.5,242,146,0.6033057851239669,0.5405173314834795,0.6628657766377093,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.3,67,54,0.8059701492537313,0.6958088777455581,0.8829482608358841,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2009,1,1776,949,0.5343468468468469,0.5110986327865342,0.5574467982659799,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2009,2,46,37,0.8043478260869565,0.668287410770154,0.8934938986560146,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2009,3+,2,2,1.0,0.3423802275066531,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2009,K80.0,172,125,0.7267441860465116,0.6557384467913617,0.7878429504690917,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.2,1181,564,0.4775613886536833,0.4491926954619518,0.5060755814830898,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.5,216,130,0.6018518518518519,0.5353392784359875,0.6648049538486384,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.1,201,121,0.6019900497512438,0.5330183305571738,0.6671364634774114,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.3,65,54,0.8307692307692308,0.7218357836377647,0.9027878187178839,multilabel subtype rows are non-mutually-exclusive; do not sum
