scheme,age_sex_cell,weight
primary_2018_2024,85+|Male,0.13427044439563657
primary_2018_2024,85+|Female,0.22878688044512777
primary_2018_2024,75-84|Male,0.13419723259389413
primary_2018_2024,65-74|Male,0.10374112306903872
primary_2018_2024,55-64|Male,0.058276594186982944
primary_2018_2024,65-74|Female,0.09048978695365693
primary_2018_2024,75-84|Female,0.13295263196427265
primary_2018_2024,55-64|Female,0.04195036239841862
primary_2018_2024,45-54|Male,0.025404495204626985
primary_2018_2024,35-44|Male,0.00988359323522952
primary_2018_2024,35-44|Female,0.00915147521780511
primary_2018_2024,45-54|Female,0.01822973863386778
primary_2018_2024,25-34|Female,0.004612343509773776
primary_2018_2024,25-34|Male,0.006442638553334798
primary_2018_2024,0-24|Female,0.0016106596383336994
sensitivity_1999,85+|Female,0.2565816966151275
sensitivity_1999,85+|Male,0.10614291684078563
sensitivity_1999,75-84|Female,0.17927287923109067
sensitivity_1999,65-74|Male,0.08608441287087339
sensitivity_1999,25-34|Female,0.005432511491851233
sensitivity_1999,75-84|Male,0.1408274132887589
sensitivity_1999,65-74|Female,0.07856247388215629
sensitivity_1999,55-64|Male,0.03928123694107814
sensitivity_1999,0-24|Female,0.00919348098620978
sensitivity_1999,55-64|Female,0.03677392394483912
sensitivity_1999,35-44|Female,0.010029251984956121
sensitivity_1999,45-54|Female,0.02131216046803176
sensitivity_1999,35-44|Male,0.010447137484329294
sensitivity_1999,45-54|Male,0.017551190973673213
sensitivity_1999,25-34|Male,0.0025073129962390303
sensitivity_full_period,85+|Female,0.2537705689685606
sensitivity_full_period,85+|Male,0.12522799929393766
sensitivity_full_period,75-84|Female,0.14882224880851982
sensitivity_full_period,65-74|Male,0.0890619177437386
sensitivity_full_period,25-34|Female,0.004805146409869183
sensitivity_full_period,75-84|Male,0.13505403338105793
sensitivity_full_period,65-74|Female,0.07778453331241297
sensitivity_full_period,55-64|Male,0.05113068036950595
sensitivity_full_period,0-24|Female,0.0036087630180242024
sensitivity_full_period,55-64|Female,0.03944142624590582
sensitivity_full_period,35-44|Female,0.009276874497420911
sensitivity_full_period,45-54|Female,0.02012277639398278
sensitivity_full_period,35-44|Male,0.009943711142055818
sensitivity_full_period,45-54|Male,0.02720301253260635
sensitivity_full_period,25-34|Male,0.004746307882401397
