scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
primary_2018_2024,1999,0.45654027259504626,0.436077108785786,0.47700343640430654,0.00010900173705867868,1.0,15
primary_2018_2024,2000,0.4641678719178869,0.44328501450008834,0.48505072933568544,0.00011351877705437914,1.0,15
primary_2018_2024,2001,0.4764031196539079,0.4560448783204127,0.49676136098740314,0.00010788681543961728,1.0,15
primary_2018_2024,2002,0.47484949831311607,0.45379194412418095,0.4959070525020512,0.00011542601739377849,1.0,15
primary_2018_2024,2003,0.47079355130112516,0.4495640286320859,0.4920230739701644,0.00011731899020076362,1.0,15
primary_2018_2024,2004,0.5068998459508935,0.48512425550000354,0.5286754364017835,0.00012343199174429697,1.0,15
primary_2018_2024,2005,0.4961551800935064,0.4742792043246448,0.5180311558623679,0.00012457265614322622,1.0,15
primary_2018_2024,2006,0.5195722931223702,0.49711486003863986,0.5420297262061005,0.00013128287711115804,1.0,15
primary_2018_2024,2007,0.5414963749578383,0.5184421606304997,0.5645505892851769,0.00013835297747054944,1.0,15
primary_2018_2024,2008,0.5522053923802622,0.5301752213214023,0.5742355634391222,0.00012633497419893599,1.0,15
primary_2018_2024,2009,0.543661143229396,0.5206089081545334,0.5667133783042585,0.00013832922270583164,1.0,15
primary_2018_2024,2010,0.5572988019618001,0.5339883307537675,0.5806092731698328,0.0001414457694555699,1.0,15
primary_2018_2024,2011,0.5505591018424841,0.5274211185344783,0.57369708515049,0.0001393602331220222,1.0,15
primary_2018_2024,2012,0.5858153143975317,0.562593145947788,0.6090374828472753,0.00014037617334138673,1.0,15
primary_2018_2024,2013,0.5588245849778766,0.5350251572843598,0.5826240126713933,0.00014744188841600713,1.0,15
primary_2018_2024,2014,0.5889052192664573,0.5654619945464332,0.6123484439864815,0.0001430614289029437,1.0,15
primary_2018_2024,2015,0.6083978525456388,0.5856720038010728,0.6311237012902049,0.00013443986910685558,1.0,15
primary_2018_2024,2016,0.5882379837556223,0.5652448343003407,0.6112311332109039,0.00013762102297816545,1.0,15
primary_2018_2024,2017,0.5833368378892798,0.5597526581216938,0.6069210176568658,0.00014478694692571153,1.0,15
primary_2018_2024,2018,0.5968398761621219,0.5731072769615843,0.6205724753626595,0.00014661502103638032,1.0,15
primary_2018_2024,2019,0.5839764313148195,0.5612009922175348,0.6067518704121041,0.0001350272350255416,1.0,15
primary_2018_2024,2020,0.5511901100001689,0.5290505788882858,0.5733296411120521,0.0001275923672048214,1.0,15
primary_2018_2024,2021,0.5781859310638822,0.5568127261060352,0.5995591360217292,0.00011891240373025199,1.0,15
primary_2018_2024,2022,0.5591244889219402,0.5385905703841329,0.5796584074597475,0.0001097568228127103,1.0,15
primary_2018_2024,2023,0.5422580636858798,0.5208215329656076,0.563694594406152,0.00011961808864045532,1.0,15
primary_2018_2024,2024,0.5611901794877248,0.5399790377077649,0.5824013212676846,0.00011711592451310917,1.0,15
sensitivity_1999,1999,0.45633096531550355,0.43641430646645624,0.47624762416455085,0.00010325731458489576,1.0,15
sensitivity_1999,2000,0.4654953799468419,0.44511137503556847,0.4858793848581154,0.00010816005211964322,1.0,15
sensitivity_1999,2001,0.47537966720156,0.45526655743929517,0.4954927769638248,0.00010530434826866725,1.0,15
sensitivity_1999,2002,0.4736630798591234,0.4529818013124574,0.49434435840578944,0.00011133779735651512,1.0,15
sensitivity_1999,2003,0.4695029023667762,0.44885472339318916,0.4901510813403633,0.00011098169901220414,1.0,15
sensitivity_1999,2004,0.5067071151582759,0.4851790947071445,0.5282351356094074,0.00012064131209504734,1.0,15
sensitivity_1999,2005,0.49701552445424296,0.4752833064998356,0.5187477424086503,0.00012294077915916951,1.0,15
sensitivity_1999,2006,0.5188677955728596,0.49652875426840204,0.5412068368773171,0.00012990232361574826,1.0,15
sensitivity_1999,2007,0.5493961559599421,0.526998949556807,0.5717933623630771,0.0001305796685403567,1.0,15
sensitivity_1999,2008,0.5563581725736672,0.5343140327279859,0.5784023124193484,0.00012649523675967067,1.0,15
sensitivity_1999,2009,0.5405370298825929,0.5175317558841229,0.5635423038810629,0.0001377661994337461,1.0,15
sensitivity_1999,2010,0.5614200830457827,0.5378976789235418,0.5849424871680237,0.00014402943973605166,1.0,15
sensitivity_1999,2011,0.5556024848459422,0.5320726929129955,0.5791322767788889,0.0001441199261786142,1.0,15
sensitivity_1999,2012,0.5891332555333101,0.5653703909843754,0.6128961200822448,0.00014698920542769082,1.0,15
sensitivity_1999,2013,0.5632264460369035,0.5382879664222342,0.5881649256515729,0.00016189290022159406,1.0,15
sensitivity_1999,2014,0.5935944047570845,0.5698933009587691,0.6172955085553998,0.00014622613527137622,1.0,15
sensitivity_1999,2015,0.610883493629299,0.5881152008474625,0.6336517864111354,0.00013494251254670585,1.0,15
sensitivity_1999,2016,0.5993961717311298,0.5759390619242685,0.6228532815379911,0.00014323094556725118,1.0,15
sensitivity_1999,2017,0.5840956411840091,0.5598183978354653,0.608372884532553,0.0001534216328103959,1.0,15
sensitivity_1999,2018,0.5996467637685398,0.5754055924326444,0.6238879351044351,0.00015296605261771936,1.0,15
