scheme,contrast_or_year,std_UCF,CI_lo,CI_hi,RD,RD_CI_lo,RD_CI_hi,RR,RR_CI_lo,RR_CI_hi
primary_2018_2024,1999,0.45654027259504626,0.436077108785786,0.47700343640430654,,,,,,
primary_2018_2024,2015,0.6083978525456388,0.5856720038010728,0.6311237012902049,,,,,,
primary_2018_2024,2024,0.5611901794877248,0.5399790377077649,0.5824013212676846,,,,,,
primary_2018_2024,2024_minus_1999,,,,0.1046499068926785,0.07517697679242921,0.1341228369929278,1.2292238235585047,1.1592249837171005,1.303449485326599
sensitivity_1999,1999,0.45633096531550355,0.43641430646645624,0.47624762416455085,,,,,,
sensitivity_1999,2015,0.610883493629299,0.5881152008474625,0.6336517864111354,,,,,,
sensitivity_1999,2024,0.5713155376661703,0.5500465599413172,0.5925845153910233,,,,,,
sensitivity_1999,2024_minus_1999,,,,0.11498457235066672,0.08584623483512496,0.1441229098662085,1.2519762652336497,1.1821768507353554,1.3258968552238126
sensitivity_full_period,1999,0.45720390797630234,0.43704239842943504,0.47736541752316963,,,,,,
sensitivity_full_period,2015,0.6102985093777823,0.5877205016499841,0.6328765171055805,,,,,,
sensitivity_full_period,2024,0.5645173895117085,0.5433268936636797,0.5857078853597373,,,,,,
sensitivity_full_period,2024_minus_1999,,,,0.10731348153540615,0.07806414681658315,0.13656281625422917,1.2347168947229743,1.1652447203061038,1.3083310171221882
