year,field,available_in_layout,missing_among_A,note
1999,age_detail,1,0,
1999,sex,1,0,
1999,race_recode5,0,0,bridged Race Recode 5 at position 450; bridged descriptive regime
1999,race_recode6,0,0,
1999,race_recode40,0,0,
1999,race_detail,1,0,
1999,ucd_code,1,0,
1999,record_n,1,0,
1999,record_block,1,0,
1999,entity_n,1,0,
1999,entity_block,1,0,
2000,age_detail,1,0,
2000,sex,1,0,
2000,race_recode5,0,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2000,race_recode6,0,0,
2000,race_recode40,0,0,
2000,race_detail,1,0,
2000,ucd_code,1,0,
2000,record_n,1,0,
2000,record_block,1,0,
2000,entity_n,1,0,
2000,entity_block,1,0,
2001,age_detail,1,0,
2001,sex,1,0,
2001,race_recode5,0,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2001,race_recode6,0,0,
2001,race_recode40,0,0,
2001,race_detail,1,0,
2001,ucd_code,1,0,
2001,record_n,1,0,
2001,record_block,1,0,
2001,entity_n,1,0,
2001,entity_block,1,0,
2002,age_detail,1,0,
2002,sex,1,0,
2002,race_recode5,0,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2002,race_recode6,0,0,
2002,race_recode40,0,0,
2002,race_detail,1,0,
2002,ucd_code,1,0,
2002,record_n,1,0,
2002,record_block,1,0,
2002,entity_n,1,0,
2002,entity_block,1,0,
2003,age_detail,1,0,
2003,sex,1,0,
2003,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2003,race_recode6,0,0,
2003,race_recode40,0,0,
2003,race_detail,1,0,
2003,ucd_code,1,0,
2003,record_n,1,0,
2003,record_block,1,0,
2003,entity_n,1,0,
2003,entity_block,1,0,
2004,age_detail,1,0,
2004,sex,1,0,
2004,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2004,race_recode6,0,0,
2004,race_recode40,0,0,
2004,race_detail,1,0,
2004,ucd_code,1,0,
2004,record_n,1,0,
2004,record_block,1,0,
2004,entity_n,1,0,
2004,entity_block,1,0,
2005,age_detail,1,0,
2005,sex,1,0,
2005,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2005,race_recode6,0,0,
2005,race_recode40,0,0,
2005,race_detail,1,0,
2005,ucd_code,1,0,
2005,record_n,1,0,
2005,record_block,1,0,
2005,entity_n,1,0,
2005,entity_block,1,0,
2006,age_detail,1,0,
2006,sex,1,0,
2006,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2006,race_recode6,0,0,
2006,race_recode40,0,0,
2006,race_detail,1,0,
2006,ucd_code,1,0,
2006,record_n,1,0,
2006,record_block,1,0,
2006,entity_n,1,0,
2006,entity_block,1,0,
2007,age_detail,1,0,
2007,sex,1,0,
2007,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2007,race_recode6,0,0,
2007,race_recode40,0,0,
2007,race_detail,1,0,
2007,ucd_code,1,0,
2007,record_n,1,0,
2007,record_block,1,0,
2007,entity_n,1,0,
2007,entity_block,1,0,
2008,age_detail,1,0,
2008,sex,1,0,
2008,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2008,race_recode6,0,0,
2008,race_recode40,0,0,
2008,race_detail,1,0,
2008,ucd_code,1,0,
2008,record_n,1,0,
2008,record_block,1,0,
2008,entity_n,1,0,
2008,entity_block,1,0,
2009,age_detail,1,0,
2009,sex,1,0,
2009,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2009,race_recode6,0,0,
2009,race_recode40,0,0,
2009,race_detail,1,0,
2009,ucd_code,1,0,
2009,record_n,1,0,
2009,record_block,1,0,
2009,entity_n,1,0,
2009,entity_block,1,0,
2010,age_detail,1,0,
2010,sex,1,0,
2010,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2010,race_recode6,0,0,
2010,race_recode40,0,0,
2010,race_detail,1,0,
2010,ucd_code,1,0,
2010,record_n,1,0,
2010,record_block,1,0,
2010,entity_n,1,0,
2010,entity_block,1,0,
2011,age_detail,1,0,
2011,sex,1,0,
2011,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2011,race_recode6,0,0,
2011,race_recode40,0,0,
2011,race_detail,1,0,
2011,ucd_code,1,0,
2011,record_n,1,0,
2011,record_block,1,0,
2011,entity_n,1,0,
2011,entity_block,1,0,
2012,age_detail,1,0,
2012,sex,1,0,
2012,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2012,race_recode6,0,0,
2012,race_recode40,0,0,
2012,race_detail,1,0,
2012,ucd_code,1,0,
2012,record_n,1,0,
2012,record_block,1,0,
2012,entity_n,1,0,
2012,entity_block,1,0,
2013,age_detail,1,0,
2013,sex,1,0,
2013,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2013,race_recode6,0,0,
2013,race_recode40,0,0,
2013,race_detail,1,0,
2013,ucd_code,1,0,
2013,record_n,1,0,
2013,record_block,1,0,
2013,entity_n,1,0,
2013,entity_block,1,0,
2014,age_detail,1,0,
2014,sex,1,0,
2014,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2014,race_recode6,0,0,
2014,race_recode40,0,0,
2014,race_detail,1,0,
2014,ucd_code,1,0,
2014,record_n,1,0,
2014,record_block,1,0,
2014,entity_n,1,0,
2014,entity_block,1,0,
2015,age_detail,1,0,
2015,sex,1,0,
2015,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2015,race_recode6,0,0,
2015,race_recode40,0,0,
2015,race_detail,1,0,
2015,ucd_code,1,0,
2015,record_n,1,0,
2015,record_block,1,0,
2015,entity_n,1,0,
2015,entity_block,1,0,
2016,age_detail,1,0,
2016,sex,1,0,
2016,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2016,race_recode6,0,0,
2016,race_recode40,0,0,
2016,race_detail,1,0,
2016,ucd_code,1,0,
2016,record_n,1,0,
2016,record_block,1,0,
2016,entity_n,1,0,
2016,entity_block,1,0,
2017,age_detail,1,0,
2017,sex,1,0,
2017,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2017,race_recode6,0,0,
2017,race_recode40,0,0,
2017,race_detail,1,0,
2017,ucd_code,1,0,
2017,record_n,1,0,
2017,record_block,1,0,
2017,entity_n,1,0,
2017,entity_block,1,0,
2018,age_detail,1,0,
2018,sex,1,0,
2018,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2018,race_recode6,0,0,
2018,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2018,race_detail,1,0,
2018,ucd_code,1,0,
2018,record_n,1,0,
2018,record_block,1,0,
2018,entity_n,1,0,
2018,entity_block,1,0,
2019,age_detail,1,0,
2019,sex,1,0,
2019,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2019,race_recode6,0,0,
2019,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2019,race_detail,1,0,
2019,ucd_code,1,0,
2019,record_n,1,0,
2019,record_block,1,0,
2019,entity_n,1,0,
2019,entity_block,1,0,
2020,age_detail,1,0,
2020,sex,1,0,
2020,race_recode5,1,0,bridged Race Recode 5 at position 450; bridged descriptive regime
2020,race_recode6,0,0,
2020,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2020,race_detail,1,0,
2020,ucd_code,1,0,
2020,record_n,1,0,
2020,record_block,1,0,
2020,entity_n,1,0,
2020,entity_block,1,0,
2021,age_detail,1,0,
2021,sex,1,0,
2021,race_recode5,0,0,
2021,race_recode6,0,0,
2021,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2021,race_detail,0,0,
2021,ucd_code,1,0,
2021,record_n,1,0,
2021,record_block,1,0,
2021,entity_n,1,0,
2021,entity_block,1,0,
2022,age_detail,1,0,
2022,sex,1,0,
2022,race_recode5,0,0,
2022,race_recode6,1,0,Race Recode 6 at position 450; not used for the 2018-2024 Race Recode 40 module
2022,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2022,race_detail,0,0,
2022,ucd_code,1,0,
2022,record_n,1,0,
2022,record_block,1,0,
2022,entity_n,1,0,
2022,entity_block,1,0,
2023,age_detail,1,0,
2023,sex,1,0,
2023,race_recode5,0,0,
2023,race_recode6,1,0,Race Recode 6 at position 450; not used for the 2018-2024 Race Recode 40 module
2023,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2023,race_detail,0,0,
2023,ucd_code,1,0,
2023,record_n,1,0,
2023,record_block,1,0,
2023,entity_n,1,0,
2023,entity_block,1,0,
2024,age_detail,1,0,
2024,sex,1,0,
2024,race_recode5,0,0,
2024,race_recode6,1,0,Race Recode 6 at position 450; not used for the 2018-2024 Race Recode 40 module
2024,race_recode40,1,0,official Race Recode 40 at positions 489-490; single-race descriptive regime
2024,race_detail,0,0,
2024,ucd_code,1,0,
2024,record_n,1,0,
2024,record_block,1,0,
2024,entity_n,1,0,
2024,entity_block,1,0,
