regime,year,race,A,B,UCF,CI_lo,CI_hi,std_UCF,std_CI_lo,std_CI_hi,effective_weight_sum,standardization_status
bridged,1999,AIAN,19,11,0.5789473684210527,0.3627590353425504,0.7685810871754576,,,,0.9213977912261285,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2000,AIAN,10,6,0.6,0.3126737697336583,0.8318196702937638,,,,0.845786139826218,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2001,AIAN,17,9,0.5294117647058824,0.3096323506000443,0.7383489355759056,,,,0.9600631078248993,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2002,AIAN,18,12,0.6666666666666666,0.437494672959451,0.8372122524916631,,,,0.8852285303883015,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2003,AIAN,24,12,0.5,0.31427425819573357,0.6857257418042665,,,,0.9634304283325876,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2004,AIAN,16,12,0.75,0.5050168346449122,0.8981793250878696,,,,0.7878117126239198,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2005,AIAN,22,15,0.6818181818181818,0.4731859774104275,0.8363940681864375,,,,0.9805731509171828,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2006,AIAN,14,8,0.5714285714285714,0.32590644579650746,0.7861920109552588,,,,0.8092872112463796,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2007,AIAN,12,9,0.75,0.46769466506643437,0.9110583316059452,,,,0.7842795582452258,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2008,AIAN,15,8,0.5333333333333333,0.30116980025498397,0.7519046463426261,,,,0.6826712506181271,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2009,AIAN,20,8,0.4,0.2188065323728171,0.6134184992377469,,,,0.958461864506558,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2010,AIAN,14,4,0.2857142857142857,0.1172137864457692,0.5464908432989318,,,,0.7211010902583183,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2011,AIAN,26,15,0.5769230769230769,0.3894861374659171,0.7445555668634343,,,,0.936562507358655,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2012,AIAN,14,6,0.42857142857142855,0.2138079890447412,0.6740935542034925,,,,0.7477806296653873,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2013,AIAN,27,17,0.6296296296296297,0.44229234412102386,0.7846748703903439,,,,0.9813502248804955,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2014,AIAN,17,8,0.47058823529411764,0.26165106442409436,0.6903676493999558,,,,0.8563355075705842,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2015,AIAN,19,13,0.6842105263157895,0.4601040767532747,0.8463562091220771,,,,0.7559752278239574,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2016,AIAN,20,9,0.45,0.2581978582556243,0.6579146575496578,,,,0.9239880377705042,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2017,AIAN,23,13,0.5652173913043478,0.3681137508501646,0.7436536467432578,,,,0.8393576188569949,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2018,AIAN,23,10,0.43478260869565216,0.25634635325674215,0.6318862491498354,,,,0.8459980690889397,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2019,AIAN,20,14,0.7,0.4810271816464765,0.8545227551323956,,,,0.8358254644783009,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2020,AIAN,30,12,0.4,0.2459062811680185,0.5767963974667752,,,,0.9605576094379165,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,1999,API,63,31,0.49206349206349204,0.37266808813984664,0.6123711372504527,,,,0.9540348976852615,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2000,API,55,24,0.43636363636363634,0.3137344236063191,0.5673018365358555,,,,0.9540348976852615,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2001,API,61,34,0.5573770491803278,0.43303367693143874,0.6749219447851712,,,,0.9600631078248993,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2002,API,48,21,0.4375,0.30701269040654244,0.5772498258017222,,,,0.9506675771775732,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2003,API,61,24,0.39344262295081966,0.2806835145303707,0.5188274737102107,,,,0.9805731509171828,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2004,API,57,30,0.5263157894736842,0.3991801621874118,0.6501283201887471,,,,0.9353851225657569,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2005,API,68,35,0.5147058823529411,0.3983475330632514,0.6294915452743934,,,,0.9711776202698567,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2006,API,79,40,0.5063291139240507,0.3983739722469014,0.6136972782384921,,,,0.9711776202698567,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2007,API,66,35,0.5303030303030303,0.41157685726598636,0.6456957150362233,,,,0.9813502248804955,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2008,API,77,40,0.5194805194805194,0.4096400507720929,0.6274696209701498,,,,0.9700944262603904,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2009,API,62,39,0.6290322580645161,0.5045796412346052,0.7384283401585889,,,,0.9513033649657381,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2010,API,64,42,0.65625,0.5340364020991819,0.7607685792155664,,,,0.9850001177384793,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2011,API,67,37,0.5522388059701493,0.4335761280049217,0.6652360663870319,,,,0.9805731509171828,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2012,API,78,47,0.6025641025641025,0.49161858291311733,0.7038813535561761,,,,0.9644900746461958,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2013,API,62,41,0.6612903225806451,0.5371769954935818,0.7665829812479109,,,,0.9805731509171828,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2014,API,77,43,0.5584415584415584,0.4473823615613035,0.6639466536654249,,,,0.985777191701792,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2015,API,70,41,0.5857142857142857,0.4688121178456046,0.6936982143126353,,,,0.9634304283325876,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2016,API,72,53,0.7361111111111112,0.6242413795382338,0.8240622334023279,,,,0.9805731509171828,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2017,API,80,47,0.5875,0.47804040345890164,0.6889414238723811,,,,0.9600631078248993,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2018,API,75,50,0.6666666666666666,0.5541742611414865,0.7629177913642448,,,,0.9608401817882121,not_estimable: common regime weight has zero-denominator cell; crude result retained
bridged,2019,API,105,67,0.638095238095238,0.5428099778622196,0.7236326104145023,,,,0.9907457555278216,not_estimable: common regime weight has zero-denominator cell; crude result retained
