recode_113,destination,rule_basis
1,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
2,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
3,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
4,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
5,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
6,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
7,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
8,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
9,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
10,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
11,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
12,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
13,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
14,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
15,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
16,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
17,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
18,INFECTIOUS_PARASITIC,113_recode_1_18_infectious_parasitic
19,NEOPLASMS,113_recode_19_44_neoplasms
20,NEOPLASMS,113_recode_19_44_neoplasms
21,NEOPLASMS,113_recode_19_44_neoplasms
22,NEOPLASMS,113_recode_19_44_neoplasms
23,NEOPLASMS,113_recode_19_44_neoplasms
24,NEOPLASMS,113_recode_19_44_neoplasms
25,NEOPLASMS,113_recode_19_44_neoplasms
26,NEOPLASMS,113_recode_19_44_neoplasms
27,NEOPLASMS,113_recode_19_44_neoplasms
28,NEOPLASMS,113_recode_19_44_neoplasms
29,NEOPLASMS,113_recode_19_44_neoplasms
30,NEOPLASMS,113_recode_19_44_neoplasms
31,NEOPLASMS,113_recode_19_44_neoplasms
32,NEOPLASMS,113_recode_19_44_neoplasms
33,NEOPLASMS,113_recode_19_44_neoplasms
34,NEOPLASMS,113_recode_19_44_neoplasms
35,NEOPLASMS,113_recode_19_44_neoplasms
36,NEOPLASMS,113_recode_19_44_neoplasms
37,NEOPLASMS,113_recode_19_44_neoplasms
38,NEOPLASMS,113_recode_19_44_neoplasms
39,NEOPLASMS,113_recode_19_44_neoplasms
40,NEOPLASMS,113_recode_19_44_neoplasms
41,NEOPLASMS,113_recode_19_44_neoplasms
42,NEOPLASMS,113_recode_19_44_neoplasms
43,NEOPLASMS,113_recode_19_44_neoplasms
44,NEOPLASMS,113_recode_19_44_neoplasms
45,OTHER,113_recode_45_anemias_to_other
46,DIABETES_NUTRITIONAL,113_recode_46_49_diabetes_nutritional
47,DIABETES_NUTRITIONAL,113_recode_46_49_diabetes_nutritional
48,DIABETES_NUTRITIONAL,113_recode_46_49_diabetes_nutritional
49,DIABETES_NUTRITIONAL,113_recode_46_49_diabetes_nutritional
50,OTHER,113_recode_50_52_other
51,OTHER,113_recode_50_52_other
52,OTHER,113_recode_50_52_other
53,CIRCULATORY,113_recode_53_75_circulatory
54,CIRCULATORY,113_recode_53_75_circulatory
55,CIRCULATORY,113_recode_53_75_circulatory
56,CIRCULATORY,113_recode_53_75_circulatory
57,CIRCULATORY,113_recode_53_75_circulatory
58,CIRCULATORY,113_recode_53_75_circulatory
59,CIRCULATORY,113_recode_53_75_circulatory
60,CIRCULATORY,113_recode_53_75_circulatory
61,CIRCULATORY,113_recode_53_75_circulatory
62,CIRCULATORY,113_recode_53_75_circulatory
63,CIRCULATORY,113_recode_53_75_circulatory
64,CIRCULATORY,113_recode_53_75_circulatory
65,CIRCULATORY,113_recode_53_75_circulatory
66,CIRCULATORY,113_recode_53_75_circulatory
67,CIRCULATORY,113_recode_53_75_circulatory
68,CIRCULATORY,113_recode_53_75_circulatory
69,CIRCULATORY,113_recode_53_75_circulatory
70,CIRCULATORY,113_recode_53_75_circulatory
71,CIRCULATORY,113_recode_53_75_circulatory
72,CIRCULATORY,113_recode_53_75_circulatory
73,CIRCULATORY,113_recode_53_75_circulatory
74,CIRCULATORY,113_recode_53_75_circulatory
75,CIRCULATORY,113_recode_53_75_circulatory
76,RESPIRATORY,113_recode_76_89_respiratory
77,RESPIRATORY,113_recode_76_89_respiratory
78,RESPIRATORY,113_recode_76_89_respiratory
79,RESPIRATORY,113_recode_76_89_respiratory
80,RESPIRATORY,113_recode_76_89_respiratory
81,RESPIRATORY,113_recode_76_89_respiratory
82,RESPIRATORY,113_recode_76_89_respiratory
83,RESPIRATORY,113_recode_76_89_respiratory
84,RESPIRATORY,113_recode_76_89_respiratory
85,RESPIRATORY,113_recode_76_89_respiratory
86,RESPIRATORY,113_recode_76_89_respiratory
87,RESPIRATORY,113_recode_76_89_respiratory
88,RESPIRATORY,113_recode_76_89_respiratory
89,RESPIRATORY,113_recode_76_89_respiratory
90,DIGESTIVE_OTHER,113_recode_90_95_digestive_other
