year,destination,ucd,raw_n,gap_denominator,raw_probability
1999,OTHER,D570,1,1303,0.0007674597083653108
1999,OTHER,D571,1,1303,0.0007674597083653108
1999,OTHER,D619,1,1303,0.0007674597083653108
1999,OTHER,D649,2,1303,0.0015349194167306216
1999,OTHER,D65,3,1303,0.0023023791250959325
1999,OTHER,D66,1,1303,0.0007674597083653108
1999,OTHER,D696,1,1303,0.0007674597083653108
1999,OTHER,D731,1,1303,0.0007674597083653108
1999,OTHER,E039,1,1303,0.0007674597083653108
1999,OTHER,E059,2,1303,0.0015349194167306216
1999,OTHER,E249,1,1303,0.0007674597083653108
1999,OTHER,E668,3,1303,0.0023023791250959325
1999,OTHER,E669,2,1303,0.0015349194167306216
1999,OTHER,E785,2,1303,0.0015349194167306216
1999,OTHER,E831,1,1303,0.0007674597083653108
1999,OTHER,E86,5,1303,0.003837298541826554
1999,OTHER,E889,1,1303,0.0007674597083653108
1999,OTHER,F03,14,1303,0.010744435917114352
1999,OTHER,F101,1,1303,0.0007674597083653108
1999,OTHER,F109,1,1303,0.0007674597083653108
1999,OTHER,F508,1,1303,0.0007674597083653108
1999,OTHER,F72,1,1303,0.0007674597083653108
1999,OTHER,F79,1,1303,0.0007674597083653108
1999,OTHER,G009,1,1303,0.0007674597083653108
1999,OTHER,G09,1,1303,0.0007674597083653108
1999,OTHER,G111,1,1303,0.0007674597083653108
1999,OTHER,G122,1,1303,0.0007674597083653108
1999,OTHER,G20,3,1303,0.0023023791250959325
1999,OTHER,G309,17,1303,0.013046815042210284
1999,OTHER,G312,1,1303,0.0007674597083653108
1999,OTHER,G35,1,1303,0.0007674597083653108
1999,OTHER,G809,1,1303,0.0007674597083653108
1999,OTHER,G918,1,1303,0.0007674597083653108
1999,OTHER,G919,2,1303,0.0015349194167306216
1999,OTHER,G931,2,1303,0.0015349194167306216
1999,OTHER,K219,1,1303,0.0007674597083653108
1999,OTHER,K220,1,1303,0.0007674597083653108
1999,OTHER,K295,1,1303,0.0007674597083653108
1999,OTHER,K296,1,1303,0.0007674597083653108
1999,OTHER,K520,1,1303,0.0007674597083653108
1999,OTHER,K529,2,1303,0.0015349194167306216
1999,OTHER,K550,8,1303,0.0061396776669224865
1999,OTHER,K551,2,1303,0.0015349194167306216
1999,OTHER,K559,6,1303,0.004604758250191865
