scheme,age_sex_cell,weight
destination_primary_2018_2024_gap_age_sex,85+|Male,0.12412617220801364
destination_primary_2018_2024_gap_age_sex,85+|Female,0.20085251491901107
destination_primary_2018_2024_gap_age_sex,55-64|Male,0.07348678601875533
destination_primary_2018_2024_gap_age_sex,75-84|Male,0.1246376811594203
destination_primary_2018_2024_gap_age_sex,65-74|Male,0.10929241261722081
destination_primary_2018_2024_gap_age_sex,75-84|Female,0.12821824381926683
destination_primary_2018_2024_gap_age_sex,45-54|Male,0.03290707587382779
destination_primary_2018_2024_gap_age_sex,65-74|Female,0.09803921568627451
destination_primary_2018_2024_gap_age_sex,35-44|Male,0.012958226768968456
destination_primary_2018_2024_gap_age_sex,35-44|Female,0.013981244671781756
destination_primary_2018_2024_gap_age_sex,55-64|Female,0.04978687127024723
destination_primary_2018_2024_gap_age_sex,25-34|Female,0.006138107416879796
destination_primary_2018_2024_gap_age_sex,45-54|Female,0.02557544757033248
