分析,估计值,95% CI或分解成分,解释
主要固定标准：1999年UCF,45.65%,43.61%至47.70%,2018-2024年K80年龄×性别权重
主要固定标准：2015年UCF,60.84%,58.57%至63.11%,观察到的描述性最高值；未作峰值检验
主要固定标准：2024年UCF,56.12%,54.00%至58.24%,2018-2024年K80年龄×性别权重
主要2024年减1999年风险差,+10.46个百分点,+7.52至+13.41,在修订重分析前冻结的修订阶段对比
主要2024年相对1999年风险比,1.229,1.159至1.303,在修订重分析前冻结的修订阶段对比
1999年固定标准风险差,+11.50个百分点,+8.58至+14.41,替代目标人群
全期固定标准风险差,+10.73个百分点,+7.81至+13.66,替代目标人群
亚型Kitagawa构成成分,+5.31个百分点,联合bootstrap 95% CI：+4.15至+6.50,100000次端点年份联合多项bootstrap；描述性恒等分解
亚型Kitagawa分层内成分,+5.18个百分点,联合bootstrap 95% CI：+2.27至+8.11,100000次端点年份联合多项bootstrap；描述性恒等分解
严重度Kitagawa构成成分,+2.69个百分点,联合bootstrap 95% CI：+1.87至+3.53,100000次端点年份联合多项bootstrap；描述性恒等分解
严重度Kitagawa分层内成分,+7.80个百分点,联合bootstrap 95% CI：+4.98至+10.63,100000次端点年份联合多项bootstrap；描述性恒等分解
实体轴Part I/II Kitagawa构成成分,+8.31个百分点,联合bootstrap 95% CI：+6.01至+10.63,100000次端点年份联合多项bootstrap；描述性恒等分解
实体轴Part I/II Kitagawa位置内成分,+2.18个百分点,联合bootstrap 95% CI：+0.37至+4.01,100000次端点年份联合多项bootstrap；描述性恒等分解
死亡证复杂度Kitagawa构成成分,−4.10个百分点,联合bootstrap 95% CI：−5.17至−3.06,100000次端点年份联合多项bootstrap；描述性恒等分解
死亡证复杂度Kitagawa分层内成分,+14.59个百分点,联合bootstrap 95% CI：+11.79至+17.39,100000次端点年份联合多项bootstrap；描述性恒等分解
CIRCULATORY去向风险差,−18.33个百分点,FWER同时95% CI：−23.77至−12.89,100000次联合多项bootstrap；9类去向RD的max-t区间
OTHER去向风险差,+11.04个百分点,FWER同时95% CI：+5.87至+16.21,100000次联合多项bootstrap；9类去向RD的max-t区间
DIGESTIVE_OTHER去向风险差,+2.86个百分点,FWER同时95% CI：−0.31至+6.03,100000次联合多项bootstrap；9类去向RD的max-t区间包含零
I21基准风险差,-13.51个百分点,-13.80至-13.21,疾病特异固定权重
C18基准风险差,+0.46个百分点,+0.03至+0.89,疾病特异固定权重
E10-E14基准风险差,-4.50个百分点,-4.76至-4.25,疾病特异固定权重
N18基准风险差,+7.14个百分点,+6.70至+7.59,疾病特异固定权重
A40-A41基准风险差,-3.55个百分点,-3.82至-3.27,疾病特异固定权重
