"panel","year","metric","total_records","resident_records","A","B","gap","B_official","orphan"
"A/B",1999,"annual_file_flow",2394871,2391399,2401,1098,1303,NA,NA
"A/B",2000,"annual_file_flow",2407193,2403351,2316,1073,1243,NA,NA
"A/B",2001,"annual_file_flow",2419960,2416425,2389,1138,1251,NA,NA
"A/B",2002,"annual_file_flow",2446796,2443387,2266,1077,1189,NA,NA
"A/B",2003,"annual_file_flow",2452154,2448288,2211,1049,1162,NA,NA
"A/B",2004,"annual_file_flow",2401400,2397615,2149,1087,1062,NA,NA
"A/B",2005,"annual_file_flow",2452506,2448017,2087,1041,1046,NA,NA
"A/B",2006,"annual_file_flow",2430725,2426264,1947,1010,937,NA,NA
"A/B",2007,"annual_file_flow",2428343,2423712,1870,1020,850,NA,NA
"A/B",2008,"annual_file_flow",2476811,2471984,2034,1136,898,NA,NA
"A/B",2009,"annual_file_flow",2441219,2437163,1824,988,836,NA,NA
"A/B",2010,"annual_file_flow",2472542,2468435,1780,994,786,NA,NA
"A/B",2011,"annual_file_flow",2519842,2515458,1808,1004,804,NA,NA
"A/B",2012,"annual_file_flow",2547864,2543279,1746,1025,721,NA,NA
"A/B",2013,"annual_file_flow",2601452,2596993,1701,948,753,NA,NA
"A/B",2014,"annual_file_flow",2631171,2626418,1692,994,698,NA,NA
"A/B",2015,"annual_file_flow",2718198,2712630,1772,1079,693,NA,NA
"A/B",2016,"annual_file_flow",2749864,2744248,1742,1031,711,NA,NA
"A/B",2017,"annual_file_flow",2820034,2813503,1668,973,695,NA,NA
"A/B",2018,"annual_file_flow",2846305,2839205,1620,969,651,NA,NA
"A/B",2019,"annual_file_flow",2861523,2854838,1794,1049,745,NA,NA
"A/B",2020,"annual_file_flow",3390278,3383729,1906,1052,854,NA,NA
"A/B",2021,"annual_file_flow",3472120,3464231,2034,1172,862,NA,NA
"A/B",2022,"annual_file_flow",3289569,3279857,2205,1229,976,NA,NA
"A/B",2023,"annual_file_flow",3101016,3090964,2057,1117,940,NA,NA
"A/B",2024,"annual_file_flow",3082464,3072666,2065,1161,904,NA,NA
"C",1999,"axis_reconciliation",NA,NA,2401,1098,1303,1100,2
"C",2000,"axis_reconciliation",NA,NA,2316,1073,1243,1075,2
"C",2001,"axis_reconciliation",NA,NA,2389,1138,1251,1138,0
"C",2002,"axis_reconciliation",NA,NA,2266,1077,1189,1077,0
"C",2003,"axis_reconciliation",NA,NA,2211,1049,1162,1049,0
"C",2004,"axis_reconciliation",NA,NA,2149,1087,1062,1088,1
"C",2005,"axis_reconciliation",NA,NA,2087,1041,1046,1041,0
"C",2006,"axis_reconciliation",NA,NA,1947,1010,937,1010,0
"C",2007,"axis_reconciliation",NA,NA,1870,1020,850,1020,0
"C",2008,"axis_reconciliation",NA,NA,2034,1136,898,1136,0
"C",2009,"axis_reconciliation",NA,NA,1824,988,836,988,0
"C",2010,"axis_reconciliation",NA,NA,1780,994,786,994,0
"C",2011,"axis_reconciliation",NA,NA,1808,1004,804,1004,0
"C",2012,"axis_reconciliation",NA,NA,1746,1025,721,1025,0
"C",2013,"axis_reconciliation",NA,NA,1701,948,753,948,0
"C",2014,"axis_reconciliation",NA,NA,1692,994,698,994,0
"C",2015,"axis_reconciliation",NA,NA,1772,1079,693,1079,0
"C",2016,"axis_reconciliation",NA,NA,1742,1031,711,1031,0
"C",2017,"axis_reconciliation",NA,NA,1668,973,695,973,0
"C",2018,"axis_reconciliation",NA,NA,1620,969,651,969,0
"C",2019,"axis_reconciliation",NA,NA,1794,1049,745,1049,0
"C",2020,"axis_reconciliation",NA,NA,1906,1052,854,1052,0
"C",2021,"axis_reconciliation",NA,NA,2034,1172,862,1172,0
"C",2022,"axis_reconciliation",NA,NA,2205,1229,976,1229,0
"C",2023,"axis_reconciliation",NA,NA,2057,1117,940,1117,0
"C",2024,"axis_reconciliation",NA,NA,2065,1161,904,1161,0
