"panel","year","series","estimate","lo","hi","scheme"
"A",1999,"A",2401,NA,NA,NA
"A",1999,"B",1098,NA,NA,NA
"A",1999,"gap",1303,NA,NA,NA
"A",2000,"A",2316,NA,NA,NA
"A",2000,"B",1073,NA,NA,NA
"A",2000,"gap",1243,NA,NA,NA
"A",2001,"A",2389,NA,NA,NA
"A",2001,"B",1138,NA,NA,NA
"A",2001,"gap",1251,NA,NA,NA
"A",2002,"A",2266,NA,NA,NA
"A",2002,"B",1077,NA,NA,NA
"A",2002,"gap",1189,NA,NA,NA
"A",2003,"A",2211,NA,NA,NA
"A",2003,"B",1049,NA,NA,NA
"A",2003,"gap",1162,NA,NA,NA
"A",2004,"A",2149,NA,NA,NA
"A",2004,"B",1087,NA,NA,NA
"A",2004,"gap",1062,NA,NA,NA
"A",2005,"A",2087,NA,NA,NA
"A",2005,"B",1041,NA,NA,NA
"A",2005,"gap",1046,NA,NA,NA
"A",2006,"A",1947,NA,NA,NA
"A",2006,"B",1010,NA,NA,NA
"A",2006,"gap",937,NA,NA,NA
"A",2007,"A",1870,NA,NA,NA
"A",2007,"B",1020,NA,NA,NA
"A",2007,"gap",850,NA,NA,NA
"A",2008,"A",2034,NA,NA,NA
"A",2008,"B",1136,NA,NA,NA
"A",2008,"gap",898,NA,NA,NA
"A",2009,"A",1824,NA,NA,NA
"A",2009,"B",988,NA,NA,NA
"A",2009,"gap",836,NA,NA,NA
"A",2010,"A",1780,NA,NA,NA
"A",2010,"B",994,NA,NA,NA
"A",2010,"gap",786,NA,NA,NA
"A",2011,"A",1808,NA,NA,NA
"A",2011,"B",1004,NA,NA,NA
"A",2011,"gap",804,NA,NA,NA
"A",2012,"A",1746,NA,NA,NA
"A",2012,"B",1025,NA,NA,NA
"A",2012,"gap",721,NA,NA,NA
"A",2013,"A",1701,NA,NA,NA
"A",2013,"B",948,NA,NA,NA
"A",2013,"gap",753,NA,NA,NA
"A",2014,"A",1692,NA,NA,NA
"A",2014,"B",994,NA,NA,NA
"A",2014,"gap",698,NA,NA,NA
"A",2015,"A",1772,NA,NA,NA
"A",2015,"B",1079,NA,NA,NA
"A",2015,"gap",693,NA,NA,NA
"A",2016,"A",1742,NA,NA,NA
"A",2016,"B",1031,NA,NA,NA
"A",2016,"gap",711,NA,NA,NA
"A",2017,"A",1668,NA,NA,NA
"A",2017,"B",973,NA,NA,NA
"A",2017,"gap",695,NA,NA,NA
"A",2018,"A",1620,NA,NA,NA
"A",2018,"B",969,NA,NA,NA
"A",2018,"gap",651,NA,NA,NA
"A",2019,"A",1794,NA,NA,NA
"A",2019,"B",1049,NA,NA,NA
"A",2019,"gap",745,NA,NA,NA
"A",2020,"A",1906,NA,NA,NA
"A",2020,"B",1052,NA,NA,NA
"A",2020,"gap",854,NA,NA,NA
"A",2021,"A",2034,NA,NA,NA
"A",2021,"B",1172,NA,NA,NA
"A",2021,"gap",862,NA,NA,NA
"A",2022,"A",2205,NA,NA,NA
"A",2022,"B",1229,NA,NA,NA
"A",2022,"gap",976,NA,NA,NA
"A",2023,"A",2057,NA,NA,NA
"A",2023,"B",1117,NA,NA,NA
"A",2023,"gap",940,NA,NA,NA
"A",2024,"A",2065,NA,NA,NA
"A",2024,"B",1161,NA,NA,NA
"A",2024,"gap",904,NA,NA,NA
"B",1999,"Crude",0.457309454394003,0.437466851279062,0.477288444024051,NA
"B",2000,"Crude",0.463298791018998,0.44306789669181,0.483651233465291,NA
"B",2001,"Crude",0.476349937212223,0.456376593706232,0.496399216164727,NA
"B",2002,"Crude",0.475286849073257,0.454784432320587,0.49587291444486,NA
"B",2003,"Crude",0.474445952057892,0.453694272861309,0.495286274008096,NA
"B",2004,"Crude",0.505816658911121,0.484686823524207,0.526925736191962,NA
"B",2005,"Crude",0.498802108289411,0.477372625023948,0.520235993277116,NA
"B",2006,"Crude",0.518746789933231,0.496538009576579,0.540881740588116,NA
"B",2007,"Crude",0.545454545454545,0.522816201637426,0.567906521568298,NA
"B",2008,"Crude",0.55850540806293,0.536835310082734,0.579954933323999,NA
"B",2009,"Crude",0.541666666666667,0.518736852827592,0.56442134410819,NA
"B",2010,"Crude",0.558426966292135,0.535256984249108,0.581345306257981,NA
"B",2011,"Crude",0.555309734513274,0.532310668766318,0.578074265316258,NA
"B",2012,"Crude",0.587056128293242,0.563794939408043,0.609935085370819,NA
"B",2013,"Crude",0.557319223985891,0.533611906416411,0.580768230804612,NA
"B",2014,"Crude",0.587470449172577,0.563841270474325,0.610703347750684,NA
"B",2015,"Crude",0.608916478555305,0.585983112115368,0.63137863382356,NA
"B",2016,"Crude",0.591848450057405,0.568590649103747,0.614702053898138,NA
"B",2017,"Crude",0.583333333333333,0.559508924455066,0.60677478536279,NA
"B",2018,"Crude",0.598148148148148,0.574068936459787,0.621762989294187,NA
"B",2019,"Crude",0.584726867335563,0.561767098468937,0.60732456337282,NA
"B",2020,"Crude",0.551941238195173,0.52953351585431,0.574140011121203,NA
"B",2021,"Crude",0.576204523107178,0.554605349152415,0.597516396461397,NA
"B",2022,"Crude",0.557369614512472,0.536555882359061,0.577983800418841,NA
"B",2023,"Crude",0.543023821098687,0.521436365855208,0.564450881435172,NA
"B",2024,"Crude",0.562227602905569,0.540733859517773,0.583490255821881,NA
"B",1999,"Age-sex standardized",0.456540272595046,0.436077108785786,0.477003436404307,NA
"B",2000,"Age-sex standardized",0.464167871917887,0.443285014500088,0.485050729335685,NA
"B",2001,"Age-sex standardized",0.476403119653908,0.456044878320413,0.496761360987403,NA
"B",2002,"Age-sex standardized",0.474849498313116,0.453791944124181,0.495907052502051,NA
"B",2003,"Age-sex standardized",0.470793551301125,0.449564028632086,0.492023073970164,NA
"B",2004,"Age-sex standardized",0.506899845950894,0.485124255500004,0.528675436401783,NA
"B",2005,"Age-sex standardized",0.496155180093506,0.474279204324645,0.518031155862368,NA
"B",2006,"Age-sex standardized",0.51957229312237,0.49711486003864,0.5420297262061,NA
"B",2007,"Age-sex standardized",0.541496374957838,0.5184421606305,0.564550589285177,NA
"B",2008,"Age-sex standardized",0.552205392380262,0.530175221321402,0.574235563439122,NA
"B",2009,"Age-sex standardized",0.543661143229396,0.520608908154533,0.566713378304258,NA
"B",2010,"Age-sex standardized",0.5572988019618,0.533988330753768,0.580609273169833,NA
"B",2011,"Age-sex standardized",0.550559101842484,0.527421118534478,0.57369708515049,NA
"B",2012,"Age-sex standardized",0.585815314397532,0.562593145947788,0.609037482847275,NA
"B",2013,"Age-sex standardized",0.558824584977877,0.53502515728436,0.582624012671393,NA
"B",2014,"Age-sex standardized",0.588905219266457,0.565461994546433,0.612348443986481,NA
"B",2015,"Age-sex standardized",0.608397852545639,0.585672003801073,0.631123701290205,NA
"B",2016,"Age-sex standardized",0.588237983755622,0.565244834300341,0.611231133210904,NA
"B",2017,"Age-sex standardized",0.58333683788928,0.559752658121694,0.606921017656866,NA
"B",2018,"Age-sex standardized",0.596839876162122,0.573107276961584,0.620572475362659,NA
"B",2019,"Age-sex standardized",0.583976431314819,0.561200992217535,0.606751870412104,NA
"B",2020,"Age-sex standardized",0.551190110000169,0.529050578888286,0.573329641112052,NA
"B",2021,"Age-sex standardized",0.578185931063882,0.556812726106035,0.599559136021729,NA
"B",2022,"Age-sex standardized",0.55912448892194,0.538590570384133,0.579658407459748,NA
"B",2023,"Age-sex standardized",0.54225806368588,0.520821532965608,0.563694594406152,NA
"B",2024,"Age-sex standardized",0.561190179487725,0.539979037707765,0.582401321267685,NA
"C",1999,"landmark standardized UCF",0.456540272595046,0.436077108785786,0.477003436404307,"primary_2018_2024"
