"panel","year","destination","estimate","lo","hi","count","code","interval_type","bootstrap_reps","simultaneous_excludes_zero"
"A/B",1999,"CIRCULATORY",0.414465084423761,0.387224351080313,0.441705817767209,566,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"DIABETES_NUTRITIONAL",0.0371115461561087,0.0262154346100285,0.0480076577021889,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"DIGESTIVE_OTHER",0.0536714660387742,0.039768370596974,0.0675745614805743,57,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"EXTERNAL",0.0209198199221848,0.0125056945173349,0.0293339453270347,26,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"INFECTIOUS_PARASITIC",0.0557548177420934,0.0423076136343697,0.069202021849817,70,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"NEOPLASMS",0.153749214377098,0.132819627161949,0.174678801592247,191,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"OTHER",0.181628038336324,0.159680472498659,0.203575604173989,238,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"OTHER_GALLBLADDER_BILIARY",0.0140847122688309,0.00752461706110644,0.0206448074765554,19,NA,"pointwise annual 95% CI",NA,NA
"A/B",1999,"RESPIRATORY",0.0686153007348246,0.0544995935294448,0.0827310079402045,89,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"CIRCULATORY",0.440273730225761,0.411935018556007,0.468612441895515,565,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"DIABETES_NUTRITIONAL",0.0399675297845098,0.0283162565128864,0.0516188030561333,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"DIGESTIVE_OTHER",0.0450920656971522,0.0325195496123191,0.0576645817819853,49,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"EXTERNAL",0.018136959390857,0.0103648588686961,0.0259090599130178,22,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"INFECTIOUS_PARASITIC",0.0554596590031437,0.0421413262989651,0.0687779917073223,66,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"NEOPLASMS",0.139873285105771,0.119214097608557,0.160532472602986,162,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"OTHER",0.169073552156025,0.14740562838334,0.190741475928711,211,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"OTHER_GALLBLADDER_BILIARY",0.0192682138598733,0.0116278871917733,0.0269085405279732,25,NA,"pointwise annual 95% CI",NA,NA
"A/B",2000,"RESPIRATORY",0.0728550047769062,0.0580001456215251,0.0877098639322873,96,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"CIRCULATORY",0.3953196156844,0.367654932315976,0.422984299052824,504,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"DIABETES_NUTRITIONAL",0.0368426017637193,0.0257999227940493,0.0478852807333893,44,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"DIGESTIVE_OTHER",0.054204554966493,0.040274565461805,0.0681345444711809,56,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"EXTERNAL",0.0148757749940998,0.00745795578462376,0.0222935942035759,18,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"INFECTIOUS_PARASITIC",0.0444643071344658,0.0321684833031941,0.0567601309657375,53,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"NEOPLASMS",0.146854123375746,0.127065968111689,0.166642278639802,186,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"OTHER",0.198297155876641,0.175366619379382,0.2212276923739,252,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"OTHER_GALLBLADDER_BILIARY",0.0220500829172149,0.0132471987568375,0.0308529670775923,26,NA,"pointwise annual 95% CI",NA,NA
"A/B",2001,"RESPIRATORY",0.0870917832872203,0.0711425227218457,0.103041043852595,112,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"CIRCULATORY",0.412761429181543,0.384440415186656,0.44108244317643,501,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"DIABETES_NUTRITIONAL",0.0349160598822161,0.0237195842099133,0.0461125355545188,39,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"DIGESTIVE_OTHER",0.05069143953401,0.0371182832882549,0.0642645957797651,52,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"EXTERNAL",0.0174838578777822,0.00994787009329538,0.025019845662269,22,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"INFECTIOUS_PARASITIC",0.0495203230450293,0.0367934356853132,0.0622472104047454,58,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"NEOPLASMS",0.139828825244986,0.11905789051585,0.160599759974123,159,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"OTHER",0.201767143248365,0.177958687197291,0.225575599299439,244,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"OTHER_GALLBLADDER_BILIARY",0.0126749341526971,0.00646787716834047,0.0188819911370537,18,NA,"pointwise annual 95% CI",NA,NA
"A/B",2002,"RESPIRATORY",0.0803559878333705,0.0643888292204919,0.0963231464462491,96,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"CIRCULATORY",0.365438895963212,0.336787425726251,0.394090366200173,437,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"DIABETES_NUTRITIONAL",0.0453668288355674,0.03237621026857,0.0583574474025648,51,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"DIGESTIVE_OTHER",0.0613745345006989,0.0468436795898814,0.0759053894115164,64,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"EXTERNAL",0.0224666531593591,0.0135278219978839,0.0314054843208343,25,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"INFECTIOUS_PARASITIC",0.0438647823474064,0.030762125865566,0.0569674388292468,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"NEOPLASMS",0.137202289104123,0.116268944469512,0.158135633738734,156,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"OTHER",0.207437660196346,0.182830506645006,0.232044813747685,239,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"OTHER_GALLBLADDER_BILIARY",0.0201670171489368,0.011669007155242,0.0286650271426315,24,NA,"pointwise annual 95% CI",NA,NA
"A/B",2003,"RESPIRATORY",0.0966813387443506,0.0796697369182785,0.113692940570423,119,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"CIRCULATORY",0.386130962202359,0.35593492897507,0.416326995429647,419,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"DIABETES_NUTRITIONAL",0.038484037704908,0.0264223988871947,0.0505456765226213,40,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"DIGESTIVE_OTHER",0.0373406884771638,0.024725467232765,0.0499559097215625,35,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"EXTERNAL",0.0246637078691895,0.0142800513683741,0.035047364370005,24,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"INFECTIOUS_PARASITIC",0.0431685226703166,0.0301588283931829,0.0561782169474503,45,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"NEOPLASMS",0.136335765826475,0.114413567740923,0.158257963912027,140,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"OTHER",0.220430083101484,0.194282380279666,0.246577785923302,237,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"OTHER_GALLBLADDER_BILIARY",0.024763220841797,0.0155328170714209,0.0339936246121731,28,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"RESPIRATORY",0.0886830113063075,0.0708972622375946,0.10646876037502,94,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"CIRCULATORY",0.360412245739344,0.330566961579974,0.390257529898713,389,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"DIABETES_NUTRITIONAL",0.0491479624466179,0.0353169427611554,0.0629789821320803,49,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"DIGESTIVE_OTHER",0.0456270988532522,0.0318687788268592,0.0593854188796452,42,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"EXTERNAL",0.0319616549076828,0.0204445325370631,0.0434787772783026,32,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"INFECTIOUS_PARASITIC",0.0454690535971587,0.0324246403690702,0.0585134668252471,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"NEOPLASMS",0.138897567173622,0.116597446499603,0.161197687847641,139,NA,"pointwise annual 95% CI",NA,NA
