"panel","disease","disease_label","year","estimate","lo","hi","metric","scheme"
"A","K80","Cholelithiasis (K80)",1999,0.456540272595046,0.436077108785786,0.477003436404307,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2000,0.464167871917887,0.443285014500088,0.485050729335685,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2001,0.476403119653908,0.456044878320413,0.496761360987403,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2002,0.474849498313116,0.453791944124181,0.495907052502051,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2003,0.470793551301125,0.449564028632086,0.492023073970164,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2004,0.506899845950894,0.485124255500004,0.528675436401783,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2005,0.496155180093506,0.474279204324645,0.518031155862368,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2006,0.51957229312237,0.49711486003864,0.5420297262061,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2007,0.541496374957838,0.5184421606305,0.564550589285177,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2008,0.552205392380262,0.530175221321402,0.574235563439122,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2009,0.543661143229396,0.520608908154533,0.566713378304258,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2010,0.5572988019618,0.533988330753768,0.580609273169833,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2011,0.550559101842484,0.527421118534478,0.57369708515049,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2012,0.585815314397532,0.562593145947788,0.609037482847275,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2013,0.558824584977877,0.53502515728436,0.582624012671393,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2014,0.588905219266457,0.565461994546433,0.612348443986481,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2015,0.608397852545639,0.585672003801073,0.631123701290205,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2016,0.588237983755622,0.565244834300341,0.611231133210904,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2017,0.58333683788928,0.559752658121694,0.606921017656866,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2018,0.596839876162122,0.573107276961584,0.620572475362659,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2019,0.583976431314819,0.561200992217535,0.606751870412104,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2020,0.551190110000169,0.529050578888286,0.573329641112052,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2021,0.578185931063882,0.556812726106035,0.599559136021729,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2022,0.55912448892194,0.538590570384133,0.579658407459748,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2023,0.54225806368588,0.520821532965608,0.563694594406152,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","K80","Cholelithiasis (K80)",2024,0.561190179487725,0.539979037707765,0.582401321267685,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",1999,0.831680792806328,0.830123672252957,0.833237913359699,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2000,0.82376437716584,0.822159475744228,0.825369278587452,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2001,0.816277519427863,0.814611732707505,0.817943306148222,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2002,0.808654961592188,0.806951810326776,0.8103581128576,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2003,0.802550218251128,0.800789628500712,0.804310808001544,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2004,0.796963909381648,0.795120073592842,0.798807745170455,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2005,0.78782230019184,0.785923151364499,0.789721449019181,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
"A","I21","Acute myocardial infarction (I21)",2006,0.779360455343024,0.777389834105426,0.781331076580622,"standardized UCF","own disease fixed 2018-2024 age-sex distribution of record-axis coded deaths"
