"panel","analysis","year","estimate","lo","hi","note"
"A","Primary B/A",1999,0.457309454394003,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",1999,0.457761131918435,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2000,0.463298791018998,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2000,0.463761863675582,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2001,0.476349937212223,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2001,0.476349937212223,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2002,0.475286849073257,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2002,0.475286849073257,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2003,0.474445952057892,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2003,0.474445952057892,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2004,0.505816658911121,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2004,0.506046511627907,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2005,0.498802108289411,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2005,0.498802108289411,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2006,0.518746789933231,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2006,0.518746789933231,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2007,0.545454545454545,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2007,0.545454545454545,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2008,0.55850540806293,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2008,0.55850540806293,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2009,0.541666666666667,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2009,0.541666666666667,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2010,0.558426966292135,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2010,0.558426966292135,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2011,0.555309734513274,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2011,0.555309734513274,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2012,0.587056128293242,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2012,0.587056128293242,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2013,0.557319223985891,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2013,0.557319223985891,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2014,0.587470449172577,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2014,0.587470449172577,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2015,0.608916478555305,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2015,0.608916478555305,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2016,0.591848450057405,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2016,0.591848450057405,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2017,0.583333333333333,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2017,0.583333333333333,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2018,0.598148148148148,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2018,0.598148148148148,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2019,0.584726867335563,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2019,0.584726867335563,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2020,0.551941238195173,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2020,0.551941238195173,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2021,0.576204523107178,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2021,0.576204523107178,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2022,0.557369614512472,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2022,0.557369614512472,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2023,0.543023821098687,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2023,0.543023821098687,NA,NA,"axis/A-prime sensitivity"
"A","Primary B/A",2024,0.562227602905569,NA,NA,"axis/A-prime sensitivity"
"A","A-prime sensitivity",2024,0.562227602905569,NA,NA,"axis/A-prime sensitivity"
"B","Primary K80",NA,0.104649906892679,0.0751769767924292,0.134122836992928,"Primary"
"B","A-prime crude",NA,0.104466470987134,0.0752312889978058,0.133701652976462,"Axis/denominator"
"B","Entity-axis K80",NA,0.104011645794294,0.074567314833539,0.133455976755049,"Axis/denominator"
"B","Expanded K80-K83",NA,0.0458434891734652,0.0324103491521256,0.0592766291948048,"Disease boundary"
"B","Age >=25 years",NA,0.104085435084483,0.074566866049264,0.133604004119702,"Age restriction"
"B","Age >=65 years",NA,0.130876711815592,0.0988154860509928,0.162937937580192,"Age restriction"
"B","1999 standard",NA,0.114984572350667,0.085846234835125,0.144122909866208,"Standard weights"
"B","Full-period standard",NA,0.107313481535406,0.0780641468165831,0.136562816254229,"Standard weights"
"C","Pre-2020",NA,0.538330311791856,NA,NA,"descriptive era standardized UCF"
"C","COVID 2020-2021",NA,0.564072880651176,NA,NA,"descriptive era standardized UCF"
"C","MedCoder 2022-2024",NA,0.554207012838909,NA,NA,"descriptive era standardized UCF"
"D","Primary weight support",NA,NA,NA,NA,"Complete"
"D","Destination ontology",NA,NA,NA,NA,"1-135 local; yearly 100%"
"D","Decomposition identity",NA,NA,NA,NA,"Residual ~0"
"D","Definition sensitivity",NA,NA,NA,NA,"Executed"
"D","Race Recode 40",NA,NA,NA,NA,"Six groups incl. 2021"
"D","Cross-disease weights",NA,NA,NA,NA,"Disease-specific"
