"panel","year","group","code","estimate","count"
"A",1999,"CIRCULATORY",NA,0.414465084423761,566
"A",1999,"DIABETES_NUTRITIONAL",NA,0.0371115461561087,47
"A",1999,"DIGESTIVE_OTHER",NA,0.0536714660387742,57
"A",1999,"EXTERNAL",NA,0.0209198199221848,26
"A",1999,"INFECTIOUS_PARASITIC",NA,0.0557548177420934,70
"A",1999,"NEOPLASMS",NA,0.153749214377098,191
"A",1999,"OTHER",NA,0.181628038336324,238
"A",1999,"OTHER_GALLBLADDER_BILIARY",NA,0.0140847122688309,19
"A",1999,"RESPIRATORY",NA,0.0686153007348246,89
"A",2000,"CIRCULATORY",NA,0.440273730225761,565
"A",2000,"DIABETES_NUTRITIONAL",NA,0.0399675297845098,47
"A",2000,"DIGESTIVE_OTHER",NA,0.0450920656971522,49
"A",2000,"EXTERNAL",NA,0.018136959390857,22
"A",2000,"INFECTIOUS_PARASITIC",NA,0.0554596590031437,66
"A",2000,"NEOPLASMS",NA,0.139873285105771,162
"A",2000,"OTHER",NA,0.169073552156025,211
"A",2000,"OTHER_GALLBLADDER_BILIARY",NA,0.0192682138598733,25
"A",2000,"RESPIRATORY",NA,0.0728550047769062,96
"A",2001,"CIRCULATORY",NA,0.3953196156844,504
"A",2001,"DIABETES_NUTRITIONAL",NA,0.0368426017637193,44
"A",2001,"DIGESTIVE_OTHER",NA,0.054204554966493,56
"A",2001,"EXTERNAL",NA,0.0148757749940998,18
"A",2001,"INFECTIOUS_PARASITIC",NA,0.0444643071344658,53
"A",2001,"NEOPLASMS",NA,0.146854123375746,186
"A",2001,"OTHER",NA,0.198297155876641,252
"A",2001,"OTHER_GALLBLADDER_BILIARY",NA,0.0220500829172149,26
"A",2001,"RESPIRATORY",NA,0.0870917832872203,112
"A",2002,"CIRCULATORY",NA,0.412761429181543,501
"A",2002,"DIABETES_NUTRITIONAL",NA,0.0349160598822161,39
"A",2002,"DIGESTIVE_OTHER",NA,0.05069143953401,52
"A",2002,"EXTERNAL",NA,0.0174838578777822,22
"A",2002,"INFECTIOUS_PARASITIC",NA,0.0495203230450293,58
"A",2002,"NEOPLASMS",NA,0.139828825244986,159
"A",2002,"OTHER",NA,0.201767143248365,244
"A",2002,"OTHER_GALLBLADDER_BILIARY",NA,0.0126749341526971,18
"A",2002,"RESPIRATORY",NA,0.0803559878333705,96
"A",2003,"CIRCULATORY",NA,0.365438895963212,437
"A",2003,"DIABETES_NUTRITIONAL",NA,0.0453668288355674,51
"A",2003,"DIGESTIVE_OTHER",NA,0.0613745345006989,64
"A",2003,"EXTERNAL",NA,0.0224666531593591,25
"A",2003,"INFECTIOUS_PARASITIC",NA,0.0438647823474064,47
"A",2003,"NEOPLASMS",NA,0.137202289104123,156
"A",2003,"OTHER",NA,0.207437660196346,239
"A",2003,"OTHER_GALLBLADDER_BILIARY",NA,0.0201670171489368,24
"A",2003,"RESPIRATORY",NA,0.0966813387443506,119
"A",2004,"CIRCULATORY",NA,0.386130962202359,419
"A",2004,"DIABETES_NUTRITIONAL",NA,0.038484037704908,40
"A",2004,"DIGESTIVE_OTHER",NA,0.0373406884771638,35
"A",2004,"EXTERNAL",NA,0.0246637078691895,24
