"regime","year","race","A","B","UCF","CI_lo","CI_hi","std_UCF","std_CI_lo","std_CI_hi","effective_weight_sum","standardization_status","estimate","estimate_type","display_segment"
"bridged",1999,"AIAN",19,11,0.578947368421053,0.36275903534255,0.768581087175458,NA,NA,NA,0.921397791226129,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.578947368421053,"Crude only / not estimable",1
"bridged",2000,"AIAN",10,6,0.6,0.312673769733658,0.831819670293764,NA,NA,NA,0.845786139826218,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.6,"Crude only / not estimable",1
"bridged",2001,"AIAN",17,9,0.529411764705882,0.309632350600044,0.738348935575906,NA,NA,NA,0.960063107824899,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.529411764705882,"Crude only / not estimable",1
"bridged",2002,"AIAN",18,12,0.666666666666667,0.437494672959451,0.837212252491663,NA,NA,NA,0.885228530388302,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.666666666666667,"Crude only / not estimable",1
"bridged",2003,"AIAN",24,12,0.5,0.314274258195734,0.685725741804266,NA,NA,NA,0.963430428332588,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.5,"Crude only / not estimable",1
"bridged",2004,"AIAN",16,12,0.75,0.505016834644912,0.89817932508787,NA,NA,NA,0.78781171262392,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.75,"Crude only / not estimable",1
"bridged",2005,"AIAN",22,15,0.681818181818182,0.473185977410428,0.836394068186437,NA,NA,NA,0.980573150917183,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.681818181818182,"Crude only / not estimable",1
"bridged",2006,"AIAN",14,8,0.571428571428571,0.325906445796507,0.786192010955259,NA,NA,NA,0.80928721124638,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.571428571428571,"Crude only / not estimable",1
"bridged",2007,"AIAN",12,9,0.75,0.467694665066434,0.911058331605945,NA,NA,NA,0.784279558245226,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.75,"Crude only / not estimable",1
"bridged",2008,"AIAN",15,8,0.533333333333333,0.301169800254984,0.751904646342626,NA,NA,NA,0.682671250618127,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.533333333333333,"Crude only / not estimable",1
"bridged",2009,"AIAN",20,8,0.4,0.218806532372817,0.613418499237747,NA,NA,NA,0.958461864506558,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.4,"Crude only / not estimable",1
"bridged",2010,"AIAN",14,4,0.285714285714286,0.117213786445769,0.546490843298932,NA,NA,NA,0.721101090258318,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.285714285714286,"Crude only / not estimable",1
"bridged",2011,"AIAN",26,15,0.576923076923077,0.389486137465917,0.744555566863434,NA,NA,NA,0.936562507358655,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.576923076923077,"Crude only / not estimable",1
"bridged",2012,"AIAN",14,6,0.428571428571429,0.213807989044741,0.674093554203492,NA,NA,NA,0.747780629665387,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.428571428571429,"Crude only / not estimable",1
"bridged",2013,"AIAN",27,17,0.62962962962963,0.442292344121024,0.784674870390344,NA,NA,NA,0.981350224880496,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.62962962962963,"Crude only / not estimable",1
"bridged",2014,"AIAN",17,8,0.470588235294118,0.261651064424094,0.690367649399956,NA,NA,NA,0.856335507570584,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.470588235294118,"Crude only / not estimable",1
"bridged",2015,"AIAN",19,13,0.684210526315789,0.460104076753275,0.846356209122077,NA,NA,NA,0.755975227823957,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.684210526315789,"Crude only / not estimable",1
"bridged",2016,"AIAN",20,9,0.45,0.258197858255624,0.657914657549658,NA,NA,NA,0.923988037770504,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.45,"Crude only / not estimable",1
"bridged",2017,"AIAN",23,13,0.565217391304348,0.368113750850165,0.743653646743258,NA,NA,NA,0.839357618856995,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.565217391304348,"Crude only / not estimable",1
"bridged",2018,"AIAN",23,10,0.434782608695652,0.256346353256742,0.631886249149835,NA,NA,NA,0.84599806908894,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.434782608695652,"Crude only / not estimable",1
"bridged",2019,"AIAN",20,14,0.7,0.481027181646477,0.854522755132396,NA,NA,NA,0.835825464478301,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.7,"Crude only / not estimable",1
"bridged",2020,"AIAN",30,12,0.4,0.245906281168018,0.576796397466775,NA,NA,NA,0.960557609437916,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.4,"Crude only / not estimable",1
"bridged",1999,"API",63,31,0.492063492063492,0.372668088139847,0.612371137250453,NA,NA,NA,0.954034897685262,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.492063492063492,"Crude only / not estimable",1
"bridged",2000,"API",55,24,0.436363636363636,0.313734423606319,0.567301836535856,NA,NA,NA,0.954034897685262,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.436363636363636,"Crude only / not estimable",1
"bridged",2001,"API",61,34,0.557377049180328,0.433033676931439,0.674921944785171,NA,NA,NA,0.960063107824899,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.557377049180328,"Crude only / not estimable",1
"bridged",2002,"API",48,21,0.4375,0.307012690406542,0.577249825801722,NA,NA,NA,0.950667577177573,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.4375,"Crude only / not estimable",1
"bridged",2003,"API",61,24,0.39344262295082,0.280683514530371,0.518827473710211,NA,NA,NA,0.980573150917183,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.39344262295082,"Crude only / not estimable",1
"bridged",2004,"API",57,30,0.526315789473684,0.399180162187412,0.650128320188747,NA,NA,NA,0.935385122565757,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.526315789473684,"Crude only / not estimable",1
"bridged",2005,"API",68,35,0.514705882352941,0.398347533063251,0.629491545274393,NA,NA,NA,0.971177620269857,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.514705882352941,"Crude only / not estimable",1
"bridged",2006,"API",79,40,0.506329113924051,0.398373972246901,0.613697278238492,NA,NA,NA,0.971177620269857,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.506329113924051,"Crude only / not estimable",1
"bridged",2007,"API",66,35,0.53030303030303,0.411576857265986,0.645695715036223,NA,NA,NA,0.981350224880496,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.53030303030303,"Crude only / not estimable",1
"bridged",2008,"API",77,40,0.519480519480519,0.409640050772093,0.62746962097015,NA,NA,NA,0.97009442626039,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.519480519480519,"Crude only / not estimable",1
"bridged",2009,"API",62,39,0.629032258064516,0.504579641234605,0.738428340158589,NA,NA,NA,0.951303364965738,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.629032258064516,"Crude only / not estimable",1
"bridged",2010,"API",64,42,0.65625,0.534036402099182,0.760768579215566,NA,NA,NA,0.985000117738479,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.65625,"Crude only / not estimable",1
"bridged",2011,"API",67,37,0.552238805970149,0.433576128004922,0.665236066387032,NA,NA,NA,0.980573150917183,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.552238805970149,"Crude only / not estimable",1
"bridged",2012,"API",78,47,0.602564102564103,0.491618582913117,0.703881353556176,NA,NA,NA,0.964490074646196,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.602564102564103,"Crude only / not estimable",1
"bridged",2013,"API",62,41,0.661290322580645,0.537176995493582,0.766582981247911,NA,NA,NA,0.980573150917183,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.661290322580645,"Crude only / not estimable",1
"bridged",2014,"API",77,43,0.558441558441558,0.447382361561304,0.663946653665425,NA,NA,NA,0.985777191701792,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.558441558441558,"Crude only / not estimable",1
"bridged",2015,"API",70,41,0.585714285714286,0.468812117845605,0.693698214312635,NA,NA,NA,0.963430428332588,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.585714285714286,"Crude only / not estimable",1
"bridged",2016,"API",72,53,0.736111111111111,0.624241379538234,0.824062233402328,NA,NA,NA,0.980573150917183,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.736111111111111,"Crude only / not estimable",1
"bridged",2017,"API",80,47,0.5875,0.478040403458902,0.688941423872381,NA,NA,NA,0.960063107824899,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.5875,"Crude only / not estimable",1
"bridged",2018,"API",75,50,0.666666666666667,0.554174261141486,0.762917791364245,NA,NA,NA,0.960840181788212,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.666666666666667,"Crude only / not estimable",1
"bridged",2019,"API",105,67,0.638095238095238,0.54280997786222,0.723632610414502,NA,NA,NA,0.990745755527822,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.638095238095238,"Crude only / not estimable",1
"bridged",2020,"API",72,39,0.541666666666667,0.42739867285989,0.651713729423738,NA,NA,NA,0.97506299008642,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.541666666666667,"Crude only / not estimable",1
"bridged",1999,"Black",215,92,0.427906976744186,0.363607447926982,0.494737491980407,0.415364041158703,0.339297048011561,0.491431034305845,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.415364041158703,"Standardized (common regime weights)",1
"bridged",2000,"Black",209,93,0.444976076555024,0.379197509065026,0.512740837310545,0.449932027277347,0.374816174777525,0.525047879777169,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.449932027277347,"Standardized (common regime weights)",1
"bridged",2001,"Black",225,101,0.448888888888889,0.385299047362625,0.514194688962394,0.463491799048652,0.393406896955655,0.533576701141649,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.463491799048652,"Standardized (common regime weights)",1
"bridged",2002,"Black",205,88,0.429268292682927,0.363426195431761,0.497712487645057,0.456126177861923,0.375463078485989,0.536789277237858,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.456126177861923,"Standardized (common regime weights)",1
"bridged",2003,"Black",189,84,0.444444444444444,0.375409726062103,0.515692528979817,NA,NA,NA,0.995172722349118,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.444444444444444,"Crude only / not estimable",2
"bridged",2004,"Black",198,89,0.44949494949495,0.381823863261548,0.519088466064376,0.440496843030573,0.353010676601206,0.527983009459941,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.440496843030573,"Standardized (common regime weights)",3
"bridged",2005,"Black",206,108,0.524271844660194,0.456255084100577,0.591399941060799,NA,NA,NA,0.995573033178703,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.524271844660194,"Crude only / not estimable",4
"bridged",2006,"Black",184,92,0.5,0.428497311899156,0.571502688100844,NA,NA,NA,0.995573033178703,"not_estimable: common regime weight has zero-denominator cell; crude result retained",0.5,"Crude only / not estimable",4
"bridged",2007,"Black",157,84,0.535031847133758,0.457109060270451,0.611281266953967,0.550779235842378,0.465570833594344,0.635987638090413,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.550779235842378,"Standardized (common regime weights)",5
"bridged",2008,"Black",173,90,0.520231213872832,0.446157809135852,0.593425668894023,0.525037043704973,0.43998149446961,0.610092592940336,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.525037043704973,"Standardized (common regime weights)",5
"bridged",2009,"Black",150,70,0.466666666666667,0.388660507599282,0.546337508691923,0.485003827445003,0.400858952301757,0.56914870258825,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.485003827445003,"Standardized (common regime weights)",5
"bridged",2010,"Black",154,88,0.571428571428571,0.492468331784328,0.646912032312482,0.575456104687383,0.492288752865244,0.658623456509523,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.575456104687383,"Standardized (common regime weights)",5
"bridged",2011,"Black",134,65,0.485074626865672,0.402057169325076,0.568923985153249,0.48922696962888,0.392505369386386,0.585948569871374,1,"common pooled age-sex distribution among record-axis coded deaths within regime",0.48922696962888,"Standardized (common regime weights)",5
