"panel","module","year","estimate","note"
"A","Main effects",NA,1.32729719940085,"fit_numpy_irls"
"A","Year x age",NA,1.15550731398272,"fit_numpy_irls"
"A","Year x sex",NA,1.33645595323691,"fit_numpy_irls"
"A","Age x sex",NA,1.31370937279293,"fit_numpy_irls"
"A","All pairwise",NA,1.14243829221849,"fit_numpy_irls"
"B","K80: primary_2018_2024",1999,1,"effective weight sum"
"B","K80: primary_2018_2024",2000,1,"effective weight sum"
"B","K80: primary_2018_2024",2001,1,"effective weight sum"
"B","K80: primary_2018_2024",2002,1,"effective weight sum"
"B","K80: primary_2018_2024",2003,1,"effective weight sum"
"B","K80: primary_2018_2024",2004,1,"effective weight sum"
"B","K80: primary_2018_2024",2005,1,"effective weight sum"
"B","K80: primary_2018_2024",2006,1,"effective weight sum"
"B","K80: primary_2018_2024",2007,1,"effective weight sum"
"B","K80: primary_2018_2024",2008,1,"effective weight sum"
"B","K80: primary_2018_2024",2009,1,"effective weight sum"
"B","K80: primary_2018_2024",2010,1,"effective weight sum"
"B","K80: primary_2018_2024",2011,1,"effective weight sum"
"B","K80: primary_2018_2024",2012,1,"effective weight sum"
"B","K80: primary_2018_2024",2013,1,"effective weight sum"
"B","K80: primary_2018_2024",2014,1,"effective weight sum"
"B","K80: primary_2018_2024",2015,1,"effective weight sum"
"B","K80: primary_2018_2024",2016,1,"effective weight sum"
"B","K80: primary_2018_2024",2017,1,"effective weight sum"
"B","K80: primary_2018_2024",2018,1,"effective weight sum"
"B","K80: primary_2018_2024",2019,1,"effective weight sum"
"B","K80: primary_2018_2024",2020,1,"effective weight sum"
"B","K80: primary_2018_2024",2021,1,"effective weight sum"
"B","K80: primary_2018_2024",2022,1,"effective weight sum"
"B","K80: primary_2018_2024",2023,1,"effective weight sum"
"B","K80: primary_2018_2024",2024,1,"effective weight sum"
"B","K80: sensitivity_1999",1999,1,"effective weight sum"
"B","K80: sensitivity_1999",2000,1,"effective weight sum"
"B","K80: sensitivity_1999",2001,1,"effective weight sum"
"B","K80: sensitivity_1999",2002,1,"effective weight sum"
"B","K80: sensitivity_1999",2003,1,"effective weight sum"
"B","K80: sensitivity_1999",2004,1,"effective weight sum"
"B","K80: sensitivity_1999",2005,1,"effective weight sum"
"B","K80: sensitivity_1999",2006,1,"effective weight sum"
"B","K80: sensitivity_1999",2007,1,"effective weight sum"
"B","K80: sensitivity_1999",2008,1,"effective weight sum"
"B","K80: sensitivity_1999",2009,1,"effective weight sum"
"B","K80: sensitivity_1999",2010,1,"effective weight sum"
"B","K80: sensitivity_1999",2011,1,"effective weight sum"
"B","K80: sensitivity_1999",2012,1,"effective weight sum"
"B","K80: sensitivity_1999",2013,1,"effective weight sum"
"B","K80: sensitivity_1999",2014,1,"effective weight sum"
"B","K80: sensitivity_1999",2015,1,"effective weight sum"
"B","K80: sensitivity_1999",2016,1,"effective weight sum"
"B","K80: sensitivity_1999",2017,1,"effective weight sum"
"B","K80: sensitivity_1999",2018,1,"effective weight sum"
"B","K80: sensitivity_1999",2019,1,"effective weight sum"
"B","K80: sensitivity_1999",2020,1,"effective weight sum"
"B","K80: sensitivity_1999",2021,1,"effective weight sum"
"B","K80: sensitivity_1999",2022,1,"effective weight sum"
"B","K80: sensitivity_1999",2023,1,"effective weight sum"
"B","K80: sensitivity_1999",2024,1,"effective weight sum"
"B","K80: sensitivity_full_period",1999,1,"effective weight sum"
"B","K80: sensitivity_full_period",2000,1,"effective weight sum"
"B","K80: sensitivity_full_period",2001,1,"effective weight sum"
"B","K80: sensitivity_full_period",2002,1,"effective weight sum"
"B","K80: sensitivity_full_period",2003,1,"effective weight sum"
"B","K80: sensitivity_full_period",2004,1,"effective weight sum"
"B","K80: sensitivity_full_period",2005,1,"effective weight sum"
"B","K80: sensitivity_full_period",2006,1,"effective weight sum"
"B","K80: sensitivity_full_period",2007,1,"effective weight sum"
"B","K80: sensitivity_full_period",2008,1,"effective weight sum"
"B","K80: sensitivity_full_period",2009,1,"effective weight sum"
"B","K80: sensitivity_full_period",2010,1,"effective weight sum"
"B","K80: sensitivity_full_period",2011,1,"effective weight sum"
"B","K80: sensitivity_full_period",2012,1,"effective weight sum"
"B","K80: sensitivity_full_period",2013,1,"effective weight sum"
"B","K80: sensitivity_full_period",2014,1,"effective weight sum"
"B","K80: sensitivity_full_period",2015,1,"effective weight sum"
"B","K80: sensitivity_full_period",2016,1,"effective weight sum"
"B","K80: sensitivity_full_period",2017,1,"effective weight sum"
"B","K80: sensitivity_full_period",2018,1,"effective weight sum"
"B","K80: sensitivity_full_period",2019,1,"effective weight sum"
"B","K80: sensitivity_full_period",2020,1,"effective weight sum"
"B","K80: sensitivity_full_period",2021,1,"effective weight sum"
"B","K80: sensitivity_full_period",2022,1,"effective weight sum"
"B","K80: sensitivity_full_period",2023,1,"effective weight sum"
"B","K80: sensitivity_full_period",2024,1,"effective weight sum"
"B","Comparator: I21",1999,1,"effective weight sum"
"B","Comparator: I21",2000,1,"effective weight sum"
"B","Comparator: I21",2001,1,"effective weight sum"
"B","Comparator: I21",2002,1,"effective weight sum"
"B","Comparator: I21",2003,1,"effective weight sum"
"B","Comparator: I21",2004,1,"effective weight sum"
"B","Comparator: I21",2005,1,"effective weight sum"
"B","Comparator: I21",2006,1,"effective weight sum"
"B","Comparator: I21",2007,1,"effective weight sum"
"B","Comparator: I21",2008,1,"effective weight sum"
"B","Comparator: I21",2009,1,"effective weight sum"
"B","Comparator: I21",2010,1,"effective weight sum"
"B","Comparator: I21",2011,1,"effective weight sum"
"B","Comparator: I21",2012,1,"effective weight sum"
"B","Comparator: I21",2013,1,"effective weight sum"
"B","Comparator: I21",2014,1,"effective weight sum"
"B","Comparator: I21",2015,1,"effective weight sum"
"B","Comparator: I21",2016,1,"effective weight sum"
"B","Comparator: I21",2017,1,"effective weight sum"
"B","Comparator: I21",2018,1,"effective weight sum"
"B","Comparator: I21",2019,1,"effective weight sum"
"B","Comparator: I21",2020,1,"effective weight sum"
"B","Comparator: I21",2021,1,"effective weight sum"
"B","Comparator: I21",2022,1,"effective weight sum"
"B","Comparator: I21",2023,1,"effective weight sum"
"B","Comparator: I21",2024,1,"effective weight sum"
"B","Comparator: C18",1999,1,"effective weight sum"
"B","Comparator: C18",2000,1,"effective weight sum"
"B","Comparator: C18",2001,1,"effective weight sum"
"B","Comparator: C18",2002,1,"effective weight sum"
"B","Comparator: C18",2003,1,"effective weight sum"
"B","Comparator: C18",2004,1,"effective weight sum"
"B","Comparator: C18",2005,1,"effective weight sum"
"B","Comparator: C18",2006,1,"effective weight sum"
"B","Comparator: C18",2007,1,"effective weight sum"
"B","Comparator: C18",2008,1,"effective weight sum"
"B","Comparator: C18",2009,1,"effective weight sum"
"B","Comparator: C18",2010,1,"effective weight sum"
"B","Comparator: C18",2011,1,"effective weight sum"
"B","Comparator: C18",2012,1,"effective weight sum"
"B","Comparator: C18",2013,1,"effective weight sum"
"B","Comparator: C18",2014,1,"effective weight sum"
"B","Comparator: C18",2015,1,"effective weight sum"
"B","Comparator: C18",2016,1,"effective weight sum"
"B","Comparator: C18",2017,1,"effective weight sum"
"B","Comparator: C18",2018,1,"effective weight sum"
"B","Comparator: C18",2019,1,"effective weight sum"
"B","Comparator: C18",2020,1,"effective weight sum"
"B","Comparator: C18",2021,1,"effective weight sum"
"B","Comparator: C18",2022,1,"effective weight sum"
"B","Comparator: C18",2023,1,"effective weight sum"
"B","Comparator: C18",2024,1,"effective weight sum"
"B","Comparator: E10_E14",1999,1,"effective weight sum"
"B","Comparator: E10_E14",2000,1,"effective weight sum"
"B","Comparator: E10_E14",2001,1,"effective weight sum"
"B","Comparator: E10_E14",2002,1,"effective weight sum"
"B","Comparator: E10_E14",2003,1,"effective weight sum"
"B","Comparator: E10_E14",2004,1,"effective weight sum"
"B","Comparator: E10_E14",2005,1,"effective weight sum"
"B","Comparator: E10_E14",2006,1,"effective weight sum"
"B","Comparator: E10_E14",2007,1,"effective weight sum"
"B","Comparator: E10_E14",2008,1,"effective weight sum"
"B","Comparator: E10_E14",2009,1,"effective weight sum"
"B","Comparator: E10_E14",2010,1,"effective weight sum"
"B","Comparator: E10_E14",2011,1,"effective weight sum"
"B","Comparator: E10_E14",2012,1,"effective weight sum"
"B","Comparator: E10_E14",2013,1,"effective weight sum"
"B","Comparator: E10_E14",2014,1,"effective weight sum"
"B","Comparator: E10_E14",2015,1,"effective weight sum"
"B","Comparator: E10_E14",2016,1,"effective weight sum"
"B","Comparator: E10_E14",2017,1,"effective weight sum"
"B","Comparator: E10_E14",2018,1,"effective weight sum"
"B","Comparator: E10_E14",2019,1,"effective weight sum"
"B","Comparator: E10_E14",2020,1,"effective weight sum"
"B","Comparator: E10_E14",2021,1,"effective weight sum"
"B","Comparator: E10_E14",2022,1,"effective weight sum"
"B","Comparator: E10_E14",2023,1,"effective weight sum"
"B","Comparator: E10_E14",2024,1,"effective weight sum"
"B","Comparator: N18",1999,1,"effective weight sum"
"B","Comparator: N18",2000,1,"effective weight sum"
"B","Comparator: N18",2001,1,"effective weight sum"
"B","Comparator: N18",2002,1,"effective weight sum"
"B","Comparator: N18",2003,1,"effective weight sum"
"B","Comparator: N18",2004,1,"effective weight sum"
"B","Comparator: N18",2005,1,"effective weight sum"
"B","Comparator: N18",2006,1,"effective weight sum"
"B","Comparator: N18",2007,1,"effective weight sum"
"B","Comparator: N18",2008,1,"effective weight sum"
"B","Comparator: N18",2009,1,"effective weight sum"
"B","Comparator: N18",2010,1,"effective weight sum"
"B","Comparator: N18",2011,1,"effective weight sum"
"B","Comparator: N18",2012,1,"effective weight sum"
"B","Comparator: N18",2013,1,"effective weight sum"
"B","Comparator: N18",2014,1,"effective weight sum"
"B","Comparator: N18",2015,1,"effective weight sum"
"B","Comparator: N18",2016,1,"effective weight sum"
"B","Comparator: N18",2017,1,"effective weight sum"
"B","Comparator: N18",2018,1,"effective weight sum"
"B","Comparator: N18",2019,1,"effective weight sum"
"B","Comparator: N18",2020,1,"effective weight sum"
"B","Comparator: N18",2021,1,"effective weight sum"
"B","Comparator: N18",2022,1,"effective weight sum"
"B","Comparator: N18",2023,1,"effective weight sum"
"B","Comparator: N18",2024,1,"effective weight sum"
"B","Comparator: A40_A41",1999,1,"effective weight sum"
"B","Comparator: A40_A41",2000,1,"effective weight sum"
"B","Comparator: A40_A41",2001,1,"effective weight sum"
"B","Comparator: A40_A41",2002,1,"effective weight sum"
"B","Comparator: A40_A41",2003,1,"effective weight sum"
"B","Comparator: A40_A41",2004,1,"effective weight sum"
"B","Comparator: A40_A41",2005,1,"effective weight sum"
"B","Comparator: A40_A41",2006,1,"effective weight sum"
"B","Comparator: A40_A41",2007,1,"effective weight sum"
"B","Comparator: A40_A41",2008,1,"effective weight sum"
"B","Comparator: A40_A41",2009,1,"effective weight sum"
"B","Comparator: A40_A41",2010,1,"effective weight sum"
"B","Comparator: A40_A41",2011,1,"effective weight sum"
"B","Comparator: A40_A41",2012,1,"effective weight sum"
"B","Comparator: A40_A41",2013,1,"effective weight sum"
